symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
MCOR.JK,2024-03-31,4,"{""gross_loan"": 20516822000000.0, ""allowance_for_loans"": 579383000000.0, ""net_loan"": 21096205000000.0, ""non_loan_asset"": null, ""total_asset"": 29823994000000.0, ""total_earning_assets"": null, ""cash_only"": 267949000000.0, ""total_cash_and_due_from_banks"": 576137000000.0, ""current_account"": 3713905000000.0, ""savings_account"": 1041661000000.0, ""time_deposit"": 16225173000000.0, ""total_deposit"": 20980739000000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 23205450000000.0, ""total_equity"": 6618544000000.0, ""total_debt"": null, ""stockholders_equity"": 6618544000000.0, ""non_loan_assets"": 8727789000000.0}","{""interest_income"": 497833000000.0, ""interest_expense"": 252888000000.0, ""net_interest_income"": 750721000000.0, ""premium_income"": null, ""premium_expense"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_income"": 91259000000.0, ""operating_expense"": null, ""provision"": 60338000000.0, ""non_operating_income_or_loss"": 3299000000.0, ""pretax_income"": 94322000000.0, ""income_taxes"": -20751000000.0, ""minorities"": null, ""net_income"": 73571000000.0, ""diluted_shares_outstanding"": 37923.19587628866, ""ebitda"": null}","{""high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""net_cash_flow"": null, ""operating_cash_flow"": 2386096000000.0, ""investing_cash_flow"": -1250564000000.0, ""financing_cash_flow"": -462085000000.0, ""net_increased_decreased"": 673447000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null, ""total_high_quality_liquid_asset"": null}"
INPP.JK,2024-03-31,1,"{""total_current_asset"": 2116245316745.0, ""total_non_current_asset"": 7524346364022.0, ""total_asset"": 9640591680767.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 457486940809.0, ""total_current_liabilities"": 1093807232581.0, ""total_non_current_liabilities"": 2488917781448.0, ""total_liabilities"": 3582725014029.0, ""total_equity"": 6057866666738.0, ""total_debt"": 1903951622066.0, ""stockholders_equity"": 5451089251495.0}","{""total_revenue"": 262583176143.0, ""cost_of_revenue"": 89237006706.0, ""gross_income"": 173346169437.0, ""operating_expense"": 125701162589.0, ""operating_income"": 299047332026.0, ""non_operating_income_or_loss"": -158552431652.0, ""pretax_income"": 140494900374.0, ""income_taxes"": -6540139321.0, ""minorities"": 16068885895.0, ""net_income"": 117885875158.0, ""interest_expense_non_operating"": 43432309444.0, ""ebit"": 183927209818.0, ""ebitda"": null, ""diluted_shares_outstanding"": 11184618136.432638}","{""operating_cash_flow"": 42845491760.0, ""investing_cash_flow"": -152575159730.0, ""financing_cash_flow"": 148466797460.0, ""net_increased_decreased"": 38737129490.0, ""capital_expenditure"": 152644659730.0, ""free_cash_flow"": 195490151490.0}"
GHON.JK,2024-03-31,3,"{""total_current_asset"": 131792869000.0, ""total_non_current_asset"": 1241190545000.0, ""total_asset"": 1372983414000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 16421572000.0, ""total_current_liabilities"": 330878803000.0, ""total_non_current_liabilities"": 190575484000.0, ""total_liabilities"": 521454287000.0, ""total_equity"": 851529127000.0, ""total_debt"": 402240325000.0, ""stockholders_equity"": 829394901000.0}","{""total_revenue"": 53920980000.0, ""cost_of_revenue"": 19609211000.0, ""gross_income"": 34311769000.0, ""operating_expense"": 8226220000.0, ""operating_income"": 42537989000.0, ""non_operating_income_or_loss"": -24761647000.0, ""pretax_income"": 17776342000.0, ""income_taxes"": -1292136000.0, ""minorities"": 373552000.0, ""net_income"": 16110654000.0, ""interest_expense_non_operating"": 7884049000.0, ""ebit"": 25660391000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 537021800.0}","{""operating_cash_flow"": 25011268000.0, ""investing_cash_flow"": -102052593000.0, ""financing_cash_flow"": 6402391000.0, ""net_increased_decreased"": -70638934000.0, ""capital_expenditure"": 103102652000.0, ""free_cash_flow"": 128113920000.0}"
SAPX.JK,2024-03-31,1,"{""total_current_asset"": 257935502925.0, ""total_non_current_asset"": 74446503790.0, ""total_asset"": 332382006715.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 59207786103.0, ""total_current_liabilities"": 145296777792.0, ""total_non_current_liabilities"": 7744119987.0, ""total_liabilities"": 153040897779.0, ""total_equity"": 179341108936.0, ""total_debt"": 64699788785.0, ""stockholders_equity"": 179341108936.0}","{""total_revenue"": 189963260751.0, ""cost_of_revenue"": 149384709746.0, ""gross_income"": 40578551005.0, ""operating_expense"": 37246205144.0, ""operating_income"": 77824756149.0, ""non_operating_income_or_loss"": -74907373036.0, ""pretax_income"": 2917383113.0, ""income_taxes"": -641824284.0, ""minorities"": null, ""net_income"": 2275558829.0, ""interest_expense_non_operating"": 1711543943.0, ""ebit"": 4628927056.0, ""ebitda"": 7395016128.0, ""diluted_shares_outstanding"": 833538032.6007326}","{""operating_cash_flow"": 7808221825.0, ""investing_cash_flow"": 1253276962.0, ""financing_cash_flow"": -13105935930.0, ""net_increased_decreased"": -4044437143.0, ""capital_expenditure"": 709723038.0, ""free_cash_flow"": 8517944863.0}"
BABP.JK,2024-03-31,4,"{""gross_loan"": 10225861000000.0, ""allowance_for_loans"": 261999000000.0, ""net_loan"": 10487860000000.0, ""non_loan_asset"": null, ""total_asset"": 18290069000000.0, ""total_earning_assets"": null, ""cash_only"": 149606000000.0, ""total_cash_and_due_from_banks"": 343135000000.0, ""current_account"": 902752000000.0, ""savings_account"": 1996976000000.0, ""time_deposit"": 11019064000000.0, ""total_deposit"": 13918792000000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 14686763000000.0, ""total_equity"": 3603306000000.0, ""total_debt"": null, ""stockholders_equity"": 3603306000000.0, ""non_loan_assets"": 7802209000000.0}","{""interest_income"": 335776000000.0, ""interest_expense"": 202085000000.0, ""net_interest_income"": 537861000000.0, ""premium_income"": null, ""premium_expense"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_income"": 15840000000.0, ""operating_expense"": null, ""provision"": -11070000000.0, ""non_operating_income_or_loss"": 3236000000.0, ""pretax_income"": 19076000000.0, ""income_taxes"": -4227000000.0, ""minorities"": null, ""net_income"": 14849000000.0, ""diluted_shares_outstanding"": 32280.434782608696, ""ebitda"": null}","{""high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""net_cash_flow"": null, ""operating_cash_flow"": -317128000000.0, ""investing_cash_flow"": 63689000000.0, ""financing_cash_flow"": 1727000000.0, ""net_increased_decreased"": -251712000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null, ""total_high_quality_liquid_asset"": null}"
SSTM.JK,2024-03-31,1,"{""total_current_asset"": 216829644409.0, ""total_non_current_asset"": 195816812891.0, ""total_asset"": 412646457300.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3145596184.0, ""total_current_liabilities"": 134771886579.0, ""total_non_current_liabilities"": 36014052852.0, ""total_liabilities"": 170785939431.0, ""total_equity"": 241860517869.0, ""total_debt"": null, ""stockholders_equity"": 241860517869.0}","{""total_revenue"": 61739072767.0, ""cost_of_revenue"": 56250375089.0, ""gross_income"": 5488697678.0, ""operating_expense"": 3310773969.0, ""operating_income"": 8799471647.0, ""non_operating_income_or_loss"": -2110157537.0, ""pretax_income"": 6689314110.0, ""income_taxes"": -690678565.0, ""minorities"": null, ""net_income"": 5998635545.0, ""interest_expense_non_operating"": 56591548.0, ""ebit"": 6745905658.0, ""ebitda"": 9061115156.0, ""diluted_shares_outstanding"": 1199727109.0}","{""operating_cash_flow"": 1257754497.0, ""investing_cash_flow"": -490000000.0, ""financing_cash_flow"": null, ""net_increased_decreased"": 767754497.0, ""capital_expenditure"": 490000000.0, ""free_cash_flow"": 1747754497.0}"
WIFI.JK,2024-03-31,1,"{""total_current_asset"": 314574004710.0, ""total_non_current_asset"": 1707862016482.0, ""total_asset"": 2022436021192.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 35768737603.0, ""total_current_liabilities"": 289479038144.0, ""total_non_current_liabilities"": 959969895905.0, ""total_liabilities"": 1249448934049.0, ""total_equity"": 772987087143.0, ""total_debt"": 960791618891.0, ""stockholders_equity"": 771005006772.0}","{""total_revenue"": 139781211970.0, ""cost_of_revenue"": 59851711698.0, ""gross_income"": 79929500272.0, ""operating_expense"": 15654491646.0, ""operating_income"": 95583991918.0, ""non_operating_income_or_loss"": -50537605873.0, ""pretax_income"": 45046386045.0, ""income_taxes"": -15759398823.0, ""minorities"": -101817815.0, ""net_income"": 29388805037.0, ""interest_expense_non_operating"": 19271528558.0, ""ebit"": 64317914603.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2323225694.624506}","{""operating_cash_flow"": -159163330830.0, ""investing_cash_flow"": -249999656705.0, ""financing_cash_flow"": 404859186008.0, ""net_increased_decreased"": -4303801527.0, ""capital_expenditure"": 249999656705.0, ""free_cash_flow"": 90836325875.0}"
AMIN.JK,2024-03-31,3,"{""total_current_asset"": 241196346116.0, ""total_non_current_asset"": 102470930458.0, ""total_asset"": 343667276574.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3946215416.0, ""total_current_liabilities"": 156707399706.0, ""total_non_current_liabilities"": 13118625651.0, ""total_liabilities"": 169826025357.0, ""total_equity"": 173841251217.0, ""total_debt"": 50952350891.0, ""stockholders_equity"": 173841251217.0}","{""total_revenue"": 76240835987.0, ""cost_of_revenue"": 66641691887.0, ""gross_income"": 9599144100.0, ""operating_expense"": 3761147751.0, ""operating_income"": 13360291851.0, ""non_operating_income_or_loss"": -8604931644.0, ""pretax_income"": 4755360207.0, ""income_taxes"": null, ""minorities"": null, ""net_income"": 4755360207.0, ""interest_expense_non_operating"": 1227284635.0, ""ebit"": 5982644842.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1080763683.4090908}","{""operating_cash_flow"": 996910920.0, ""investing_cash_flow"": -887511388.0, ""financing_cash_flow"": -5099204973.0, ""net_increased_decreased"": -4989805441.0, ""capital_expenditure"": 887511388.0, ""free_cash_flow"": 1884422308.0}"
PORT.JK,2024-03-31,3,"{""total_current_asset"": 1029933436000.0, ""total_non_current_asset"": 654860673000.0, ""total_asset"": 1684794109000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 239764055000.0, ""total_current_liabilities"": 516447930000.0, ""total_non_current_liabilities"": 154636649000.0, ""total_liabilities"": 671084579000.0, ""total_equity"": 1013709530000.0, ""total_debt"": 200805067000.0, ""stockholders_equity"": 1083640237000.0}","{""total_revenue"": 303604904000.0, ""cost_of_revenue"": 227232190000.0, ""gross_income"": 76372714000.0, ""operating_expense"": 19167046000.0, ""operating_income"": 95539760000.0, ""non_operating_income_or_loss"": -40979485000.0, ""pretax_income"": 54560275000.0, ""income_taxes"": -14423061000.0, ""minorities"": -8902127000.0, ""net_income"": 27792983000.0, ""interest_expense_non_operating"": 4959304000.0, ""ebit"": 59519579000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2813054959.51417}","{""operating_cash_flow"": 66608450000.0, ""investing_cash_flow"": -116593000.0, ""financing_cash_flow"": -52686683000.0, ""net_increased_decreased"": 13805174000.0, ""capital_expenditure"": 116593000.0, ""free_cash_flow"": 66725043000.0}"
CPRO.JK,2024-03-31,1,"{""total_current_asset"": 2524971000000.0, ""total_non_current_asset"": 4521660000000.0, ""total_asset"": 7046631000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 99024000000.0, ""total_current_liabilities"": 2325749000000.0, ""total_non_current_liabilities"": 1202269000000.0, ""total_liabilities"": 3528018000000.0, ""total_equity"": 3518613000000.0, ""total_debt"": 2095931000000.0, ""stockholders_equity"": 3515564000000.0}","{""total_revenue"": 2289408000000.0, ""cost_of_revenue"": 1869286000000.0, ""gross_income"": 420122000000.0, ""operating_expense"": 229366000000.0, ""operating_income"": 649488000000.0, ""non_operating_income_or_loss"": -516966000000.0, ""pretax_income"": 132522000000.0, ""income_taxes"": -33612000000.0, ""minorities"": 25000000.0, ""net_income"": 98885000000.0, ""interest_expense_non_operating"": 42864000000.0, ""ebit"": 175386000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 58167.64705882353}","{""operating_cash_flow"": 149152000000.0, ""investing_cash_flow"": -55203000000.0, ""financing_cash_flow"": -70238000000.0, ""net_increased_decreased"": 23711000000.0, ""capital_expenditure"": 55220000000.0, ""free_cash_flow"": 204372000000.0}"
