symbol,year,period,error_message
MDIY.JK,2024,tw1,Data is not available
BOAT.JK,2024,tw1,Data is not available
JMAS.JK,2024,tw1,Data is not available
AKRA.JK,2024,tw1,Data is not available
GTSI.JK,2024,tw1,Data is not available
ADMF.JK,2024,tw1,Data is not available
SIDO.JK,2024,tw1,Data is not available
SOFA.JK,2024,tw1,Data is not available
DIGI.JK,2024,tw1,Data is not available
BBTN.JK,2024,tw1,Data is not available
PACK.JK,2024,tw1,Data is not available
PKPK.JK,2024,tw1,Data is not available
MTEL.JK,2024,tw1,Data is not available
HADE.JK,2024,tw1,Data is not available
RSGK.JK,2024,tw1,Data is not available
NAIK.JK,2024,tw1,Data is not available
CBDK.JK,2024,tw1,Data is not available
ARNA.JK,2024,tw1,Data is not available
AALI.JK,2024,tw1,Data is not available
GUNA.JK,2024,tw1,Data is not available
DGWG.JK,2024,tw1,Data is not available
YOII.JK,2024,tw1,Data is not available
KBLM.JK,2024,tw1,Data is not available
OBAT.JK,2024,tw1,Data is not available
AADI.JK,2024,tw1,Data is not available
TRIM.JK,2024,tw1,Data is not available
BTPS.JK,2024,tw1,Data is not available
HEAL.JK,2024,tw1,Data is not available
KRAH.JK,2024,tw1,Data is not available
DAAZ.JK,2024,tw1,Data is not available
GSMF.JK,2024,tw1,Data is not available
IPPE.JK,2024,tw1,Data is not available
TMAS.JK,2024,tw1,Data is not available
ETWA.JK,2024,tw1,Data is not available
ACST.JK,2024,tw1,Data is not available
NIKL.JK,2024,tw1,Data is not available
CRAB.JK,2024,tw1,Data is not available
POLY.JK,2024,tw1,Data is not available
MAMI.JK,2024,tw1,Data is not available
CEKA.JK,2024,tw1,Data is not available
ITIC.JK,2024,tw1,Data is not available
LMAS.JK,2024,tw1,Data is not available
KBRI.JK,2024,tw1,Data is not available
STAA.JK,2024,tw1,Data is not available
BINA.JK,2024,tw1,Data is not available
PADI.JK,2024,tw1,Data is not available
HBAT.JK,2024,tw1,Data is not available
BOBA.JK,2024,tw1,Data is not available
PANI.JK,2024,tw1,Data is not available
VERN.JK,2024,tw1,Data is not available
VTNY.JK,2024,tw1,Data is not available
BUMI.JK,2024,tw1,Data is not available
YULE.JK,2024,tw1,Data is not available
BOSS.JK,2024,tw1,Data is not available
DOSS.JK,2024,tw1,Data is not available
PJAA.JK,2024,tw1,Data is not available
AVIA.JK,2024,tw1,Data is not available
KICI.JK,2024,tw1,Data is not available
KEJU.JK,2024,tw1,Data is not available
GOLF.JK,2024,tw1,Data is not available
PTMR.JK,2024,tw1,Data is not available
DWGL.JK,2024,tw1,Data is not available
KRYA.JK,2024,tw1,Data is not available
NEST.JK,2024,tw1,Data is not available
ATLA.JK,2024,tw1,Data is not available
BEEF.JK,2024,tw1,Data is not available
SOUL.JK,2024,tw1,Data is not available
PNGO.JK,2024,tw1,Data is not available
COCO.JK,2024,tw1,Data is not available
DNAR.JK,2024,tw1,Data is not available
BRRC.JK,2024,tw1,Data is not available
HGII.JK,2024,tw1,Data is not available
RATU.JK,2024,tw1,Data is not available
