symbol,period,year,cash_only,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,total_revenue,gross_income,pretax_income,operating_income,net_income,net_operating_cash_flow
ALKA.JK,tw2,2024,180965363000,11124284000.0,292262580000,85677625000.0,88049106000,204102598000,204213474000,29585694000.0,9120682000.0,-2138474000,-2138029000,-2138029000,-128495657000
LRNA.JK,tw1,2024,2529938804,327710106610.0,348376735140,20379735998.0,51235666830,297141068310,297141068310,19061863968.0,-3402223513.0,-9438306057,-9438306057,-9438306057,-621681067
LRNA.JK,tw2,2024,1431196007,320181113950.0,343525615362,19328874709.0,50174805541,293350809821,293350809821,47587806219.0,309776966.0,-13228564546,-13228564546,-13228564546,1402300715
INTD.JK,tw1,2024,19256793774,2161012344.0,42474585057,1213434004.0,3622542114,38855528655,38852042943,10421376951.0,1778951201.0,-805537984,-801805624,-801805624,4903373869
INTD.JK,tw2,2024,8918706416,2052609830.0,43136290921,2292995821.0,4589084023,38550692610,38547206898,16628129162.0,3153362360.0,-1099912701,-1108631806,-1108631806,-5505232119
GLVA.JK,tw1,2024,51304000000,85024000000.0,899397000000,466819000000.0,490419000000,361792000000,408978000000,424434000000.0,53411000000.0,21664000000,16545000000,16545000000,211425000000
GLVA.JK,tw2,2024,100156000000,74146000000.0,1030259000000,609210000000.0,630058000000,347981000000,400201000000,943817000000.0,117330000000.0,39650000000,30268000000,30268000000,414892000000
WAPO.JK,tw1,2024,6889836156,54313482303.0,162783276173,87979643917.0,88735729043,74047547130,74047547130,319477126650.0,7266277448.0,3859839906,2795535566,2795535566,6412042482
KOPI.JK,tw1,2024,2439900525,248864655420.0,349062828399,117918426647.0,250166787435,98019380606,98896040964,62054483382.0,19034042167.0,-1758365447,-1537308909,-1537308909,4706005153
KOPI.JK,tw2,2024,2651368306,244107559900.0,348946767577,118701814744.0,250679565473,97393685940,98267202104,129125341342.0,40480172956.0,-2221843708,-2166147770,-2166147770,406678582
LMSH.JK,tw1,2024,22478642820,52725060884.0,125179392779,14177804666.0,20865774772,104313618007,104313618007,20348961697.0,1249947172.0,-529315008,-422030721,-422030721,2701019983
LMSH.JK,tw2,2024,26264486084,52032458864.0,121601981143,13214422931.0,19770933662,101831047481,101831047481,42597564701.0,622737325.0,-3119747013,-2904601247,-2904601247,-2475739986
BLUE.JK,tw1,2024,9200534182,47000387673.0,108282568315,7040607354.0,11976157329,96306410986,96306410986,35432682588.0,11496445865.0,5606417596,5606417596,5606417596,609362779
SOFA.JK,tw2,2024,4826944193,31078852883.0,64235318138,14698390087.0,18359160142,45876157546,45876157996,23848319292.0,11866450306.0,674822033,531888479,531888479,-261693954
SMKL.JK,tw1,2024,6831029239,1129149774519.0,1984997632703,910472041734.0,1041079752768,943917879935,943917879935,426781146766.0,80963574177.0,21945645210,17307269531,17307269531,9651572732
