symbol,date,industry_code,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,cash_and_short_term_investments,cash_only,total_cash_and_due_from_banks,total_debt,total_revenue,gross_income,pretax_income,income_taxes,operating_income,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,free_cash_flow
JKSW.JK,2024-03-31,1,118480081710.0,154940947768,10656994060.0,649917324762,-494976376994,-494976376994,5561072240.0,,,,,,,,-1095708706,-1095708706,39414538.0,,,-43828348.24,-644164619,
JKSW.JK,2024-06-30,1,126335579783.0,164261649245,20190665655.0,659450996357,-495189347112,-495189347112,6046935927.0,,,,,,,,-1308678824,-1308678824,113768996.0,,,163584853.0,-158300932,
ALTO.JK,2024-06-30,1,840685906891.0,957041198862,155896661082.0,644046445175,311579746400,312994753687,3407027966.0,,,575420152207.0,44369676093.0,4044361011.0,-8529014828.0,-2242121981.0,-10771136809,-10771136809,-1235701867.0,-9764716695.0,,2680742723.0,-5169757878,-5169338878.0
ITIC.JK,2024-03-31,1,417108827473.0,595793757948,140815237543.0,192390196447,403403561501,403403561501,5642578113.0,,,149838293159.0,83557711137.0,17762267486.0,7736534192.0,-2273582319.0,5462951873,5462951873,-2983689226.0,4752844966.0,,1092590374.6,-25159475065,-24660765315.0
ITIC.JK,2024-06-30,1,415361933314.0,588666196518,139191130011.0,187008182202,401658014316,401658014316,1021397187.0,,,144093032146.0,163371468184.0,32766952191.0,11775250944.0,-3363644937.0,8411606007,8411606007,-6362238138.0,5413012806.0,,1051450750.875,-14698264358,-13456309473.0
TAMA.JK,2024-03-31,2,173461226144.0,192152105976,53584164811.0,139011063716,53141042260,53141042260,,,,,10226582924.0,4520314255.0,574280688.0,-387557466.0,186723222,186723222,,,,,4236759402,
TAMA.JK,2024-06-30,2,173116541766.0,184458961839,50770321590.0,135248965960,49209995879,49209995879,,,,,16542939858.0,6784481974.0,-3176784576.0,-567538583.0,-3744323159,-3744323159,,,,,3302737020,
KMDS.JK,2024-03-31,1,94594431621.0,266477236519,40996573929.0,45575951627,220566460609,220901284892,46454535602.0,,,862617560.0,88303390069.0,28855669868.0,16874105961.0,-3585372120.0,13288733841,13288733841,874637315.0,17748743276.0,,781827252.4117647,9911116837,9973041351.0
KMDS.JK,2024-06-30,1,93559489970.0,246116697654,38615066926.0,43116955562,202681031380,202999742092,38974908660.0,,,714269028.0,169981164970.0,55472463333.0,31690702801.0,-6703511760.0,24987191041,24987191041,1895216019.0,33585918820.0,,806633356.8387097,18873361170,18978686432.0
SSTM.JK,2024-03-31,1,195816812891.0,412646457300,134771886579.0,170785939431,241860517869,241860517869,3145596184.0,,,,61739072767.0,5488697678.0,6689314110.0,-690678565.0,5998635545,5998635545,-55995452.0,6633318658.0,,1199727109.0,1257754497,1747754497.0
