symbol,year,period,file_name,file_url
JKSW.JK,2024,tw1,FinancialStatement-2024-I-JKSW.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/JKSW/FinancialStatement-2024-I-JKSW.xlsx
JKSW.JK,2024,tw2,FinancialStatement-2024-II-JKSW.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/JKSW/FinancialStatement-2024-II-JKSW.xlsx
NTBK.JK,2024,tw1,FinancialStatement-2024-I-NTBK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/NTBK/FinancialStatement-2024-I-NTBK.xlsx
NTBK.JK,2024,tw2,FinancialStatement-2024-II-NTBK.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/NTBK/FinancialStatement-2024-II-NTBK.xlsx
ALTO.JK,2024,tw1,FinancialStatement-2024-I-ALTO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ALTO/FinancialStatement-2024-I-ALTO.xlsx
ALTO.JK,2024,tw2,FinancialStatement-2024-II-ALTO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/ALTO/FinancialStatement-2024-II-ALTO.xlsx
HOPE.JK,2024,tw1,FinancialStatement-2024-I-HOPE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/HOPE/FinancialStatement-2024-I-HOPE.xlsx
HOPE.JK,2024,tw2,FinancialStatement-2024-II-HOPE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/HOPE/FinancialStatement-2024-II-HOPE.xlsx
SMLE.JK,2024,tw1,FinancialStatement-2024-I-SMLE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/SMLE/FinancialStatement-2024-I-SMLE.xlsx
SMLE.JK,2024,tw2,FinancialStatement-2024-II-SMLE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/SMLE/FinancialStatement-2024-II-SMLE.xlsx
EPAC.JK,2024,tw1,FinancialStatement-2024-I-EPAC.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/EPAC/FinancialStatement-2024-I-EPAC.xlsx
EPAC.JK,2024,tw2,FinancialStatement-2024-II-EPAC.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/EPAC/FinancialStatement-2024-II-EPAC.xlsx
ITIC.JK,2024,tw1,FinancialStatement-2024-I-ITIC.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ITIC/FinancialStatement-2024-I-ITIC.xlsx
ITIC.JK,2024,tw2,FinancialStatement-2024-II-ITIC.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/ITIC/FinancialStatement-2024-II-ITIC.xlsx
TAMA.JK,2024,tw1,FinancialStatement-2024-I-TAMA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/TAMA/FinancialStatement-2024-I-TAMA.xlsx
