symbol,year,period,file_name,file_url
ARNA.JK,2023,tw2,FinancialStatement-2023-II-ARNA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ARNA/FinancialStatement-2023-II-ARNA.xlsx
AALI.JK,2023,tw2,FinancialStatement-2023-II-AALI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/AALI/FinancialStatement-2023-II-AALI.xlsx
MFIN.JK,2023,tw2,FinancialStatement-2023-II-MFIN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MFIN/FinancialStatement-2023-II-MFIN.xlsx
ASLC.JK,2023,tw2,FinancialStatement-2023-II-ASLC.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/ASLC/FinancialStatement-2023-II-ASLC.xlsx
MIRA.JK,2023,tw2,FinancialStatement-2023-II-MIRA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MIRA/FinancialStatement-2023-II-MIRA.xlsx
TFAS.JK,2023,tw2,FinancialStatement-2023-II-TFAS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TFAS/FinancialStatement-2023-II-TFAS.xlsx
GOLD.JK,2023,tw2,FinancialStatement-2023-II-GOLD.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/GOLD/FinancialStatement-2023-II-GOLD.xlsx
NCKL.JK,2023,tw2,FinancialStatement-2023-II-NCKL.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/NCKL/FinancialStatement-2023-II-NCKL.xlsx
KBLM.JK,2023,tw2,FinancialStatement-2023-II-KBLM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/KBLM/FinancialStatement-2023-II-KBLM.xlsx
MLIA.JK,2023,tw2,FinancialStatement-2023-II-MLIA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/MLIA/FinancialStatement-2023-II-MLIA.xlsx
EDGE.JK,2023,tw2,FinancialStatement-2023-II-EDGE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/EDGE/FinancialStatement-2023-II-EDGE.xlsx
TRIM.JK,2023,tw2,FinancialStatement-2023-II-TRIM.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TRIM/FinancialStatement-2023-II-TRIM.xlsx
DPNS.JK,2023,tw2,FinancialStatement-2023-II-DPNS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/DPNS/FinancialStatement-2023-II-DPNS.xlsx
TBLA.JK,2023,tw2,FinancialStatement-2023-II-TBLA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TBLA/FinancialStatement-2023-II-TBLA.xlsx
VICO.JK,2023,tw2,FinancialStatement-2023-II-VICO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/VICO/FinancialStatement-2023-II-VICO.xlsx
TRON.JK,2023,tw2,FinancialStatement-2023-II-TRON.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/TRON/FinancialStatement-2023-II-TRON.xlsx
INTP.JK,2023,tw2,FinancialStatement-2023-II-INTP.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/INTP/FinancialStatement-2023-II-INTP.xlsx
BTPS.JK,2023,tw2,FinancialStatement-2023-II-BTPS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BTPS/FinancialStatement-2023-II-BTPS.xlsx
HEAL.JK,2023,tw2,FinancialStatement-2023-II-HEAL.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/HEAL/FinancialStatement-2023-II-HEAL.xlsx
SFAN.JK,2023,tw2,FinancialStatement-2023-II-SFAN.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/SFAN/FinancialStatement-2023-II-SFAN.xlsx
BJBR.JK,2023,tw2,FinancialStatement-2023-II-BJBR.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2023/TW2/BJBR/FinancialStatement-2023-II-BJBR.xlsx
