symbol,year,period
BUDI.JK,2024,tw4
VERN.JK,2024,tw1
VERN.JK,2024,tw2
VERN.JK,2024,tw3
VERN.JK,2024,tw4
DUTI.JK,2024,tw4
BIPI.JK,2024,tw4
TBMS.JK,2024,tw4
FMII.JK,2024,tw4
SMLE.JK,2024,tw4
KEJU.JK,2024,tw1
KEJU.JK,2024,tw4
PTPP.JK,2024,tw4
YULE.JK,2024,tw1
YULE.JK,2024,tw4
ASJT.JK,2024,tw4
KOCI.JK,2024,tw4
PTIS.JK,2024,tw4
ZBRA.JK,2024,tw4
INAF.JK,2024,tw4
CGAS.JK,2024,tw4
RANC.JK,2024,tw4
DOSS.JK,2024,tw1
DOSS.JK,2024,tw2
DOSS.JK,2024,tw4
GOLF.JK,2024,tw1
GOLF.JK,2024,tw4
PTMR.JK,2024,tw1
PTMR.JK,2024,tw2
PTMR.JK,2024,tw4
ZATA.JK,2024,tw4
CTBN.JK,2024,tw4
HAIS.JK,2024,tw4
NSSS.JK,2024,tw4
KIAS.JK,2024,tw4
TRJA.JK,2024,tw4
DWGL.JK,2024,tw1
DWGL.JK,2024,tw4
IMJS.JK,2024,tw4
BABY.JK,2024,tw4
KRYA.JK,2024,tw1
KRYA.JK,2024,tw4
PIPA.JK,2024,tw4
INDR.JK,2024,tw4
MSJA.JK,2024,tw4
NEST.JK,2024,tw1
NEST.JK,2024,tw2
NEST.JK,2024,tw4
SKBM.JK,2024,tw4
TEBE.JK,2024,tw4
BAPA.JK,2024,tw4
NICL.JK,2024,tw4
APLN.JK,2024,tw4
BCIP.JK,2024,tw4
CASS.JK,2024,tw4
ATLA.JK,2024,tw1
ATLA.JK,2024,tw4
ENRG.JK,2024,tw4
BREN.JK,2024,tw4
AGII.JK,2024,tw4
BMHS.JK,2024,tw4
PUDP.JK,2024,tw4
BEEF.JK,2024,tw1
BEEF.JK,2024,tw4
TBIG.JK,2024,tw4
SMRA.JK,2024,tw4
