symbol,year,period,file_name,file_url
IPPE.JK,2024,tw2,FinancialStatement-2024-II-IPPE.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/IPPE/FinancialStatement-2024-II-IPPE.xlsx
BIKA.JK,2024,tw1,FinancialStatement-2024-I-BIKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BIKA/FinancialStatement-2024-I-BIKA.xlsx
BIKA.JK,2024,tw2,FinancialStatement-2024-II-BIKA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/BIKA/FinancialStatement-2024-II-BIKA.xlsx
ARTA.JK,2024,tw1,FinancialStatement-2024-I-ARTA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/ARTA/FinancialStatement-2024-I-ARTA.xlsx
CCSI.JK,2024,tw1,FinancialStatement-2024-I-CCSI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/CCSI/FinancialStatement-2024-I-CCSI.xlsx
JATI.JK,2024,tw1,FinancialStatement-2024-I-JATI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/JATI/FinancialStatement-2024-I-JATI.xlsx
JATI.JK,2024,tw2,FinancialStatement-2024-II-JATI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/JATI/FinancialStatement-2024-II-JATI.xlsx
RUNS.JK,2024,tw2,FinancialStatement-2024-II-RUNS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/RUNS/FinancialStatement-2024-II-RUNS.xlsx
MEDS.JK,2024,tw1,FinancialStatement-2024-I-MEDS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/MEDS/FinancialStatement-2024-I-MEDS.xlsx
MEDS.JK,2024,tw2,FinancialStatement-2024-II-MEDS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/MEDS/FinancialStatement-2024-II-MEDS.xlsx
COCO.JK,2024,tw1,FinancialStatement-2024-I-COCO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/COCO/FinancialStatement-2024-I-COCO.xlsx
COCO.JK,2024,tw2,FinancialStatement-2024-II-COCO.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/COCO/FinancialStatement-2024-II-COCO.xlsx
IDEA.JK,2024,tw2,FinancialStatement-2024-II-IDEA.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/IDEA/FinancialStatement-2024-II-IDEA.xlsx
HBAT.JK,2024,tw2,FinancialStatement-2024-II-HBAT.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/HBAT/FinancialStatement-2024-II-HBAT.xlsx
