symbol,year,period,file_name,file_url
BUDI.JK,2024,tw1,FinancialStatement-2024-I-BUDI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BUDI/FinancialStatement-2024-I-BUDI.xlsx
BUDI.JK,2024,tw2,FinancialStatement-2024-II-BUDI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/BUDI/FinancialStatement-2024-II-BUDI.xlsx
BUDI.JK,2024,tw3,FinancialStatement-2024-III-BUDI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/BUDI/FinancialStatement-2024-III-BUDI.xlsx
DUTI.JK,2024,tw1,FinancialStatement-2024-I-DUTI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/DUTI/FinancialStatement-2024-I-DUTI.xlsx
DUTI.JK,2024,tw2,FinancialStatement-2024-II-DUTI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/DUTI/FinancialStatement-2024-II-DUTI.xlsx
DUTI.JK,2024,tw3,FinancialStatement-2024-III-DUTI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/DUTI/FinancialStatement-2024-III-DUTI.xlsx
BIPI.JK,2024,tw1,FinancialStatement-2024-I-BIPI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/BIPI/FinancialStatement-2024-I-BIPI.xlsx
BIPI.JK,2024,tw2,FinancialStatement-2024-II-BIPI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW2/BIPI/FinancialStatement-2024-II-BIPI.xlsx
BIPI.JK,2024,tw3,FinancialStatement-2024-III-BIPI.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW3/BIPI/FinancialStatement-2024-III-BIPI.xlsx
TBMS.JK,2024,tw1,FinancialStatement-2024-I-TBMS.xlsx,/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan Keuangan Tahun 2024/TW1/TBMS/FinancialStatement-2024-I-TBMS.xlsx
