symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
TRJA.JK,2024-09-30,3,"{""total_current_assets"": 220289052317.0, ""total_non_current_assets"": 697297660031.0, ""total_assets"": 917586712348.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 18958299548.0, ""total_current_liabilities"": 297909182117.0, ""total_non_current_liabilities"": 222963854623.0, ""total_liabilities"": 520873036740.0, ""total_equity"": 396713675608.0, ""total_debt"": 369460728237.0, ""stockholders_equity"": 396615432469.0}","{""total_revenue"": 455458699375.0, ""cost_of_revenue"": 324717933170.0, ""gross_income"": 130740766205.0, ""operating_expenses"": 61653109530.0, ""operating_income"": 192393875735.0, ""non_operating_income"": -145445342020.0, ""pretax_income"": 46948533715.0, ""income_taxes"": -10829272983.0, ""minorities"": 123375.0, ""net_income"": 36119137357.0, ""interest_expense_non_operating"": 34757875622.0, ""ebit"": 81706409337.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3857326946.941055}","{""net_operating_cash_flow"": 130698691184.0, ""net_investing_cash_flow"": 52304488060.0, ""net_financing_cash_flow"": -241215012407.0, ""net_increased_decreased"": -58211833163.0, ""capital_expenditure"": 3822722374.0, ""free_cash_flow"": 134521413558.0}"
DWGL.JK,2024-09-30,1,"{""total_current_assets"": 1197409332000.0, ""total_non_current_assets"": 452375774000.0, ""total_assets"": 1649785106000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 238745944000.0, ""total_current_liabilities"": 1047101348000.0, ""total_non_current_liabilities"": 353836504000.0, ""total_liabilities"": 1400937852000.0, ""total_equity"": 248847254000.0, ""total_debt"": 202582552000.0, ""stockholders_equity"": 248847240000.0}","{""total_revenue"": 2536033606000.0, ""cost_of_revenue"": 2287095201000.0, ""gross_income"": 248938405000.0, ""operating_expenses"": 38411253000.0, ""operating_income"": 287349658000.0, ""non_operating_income"": -169440289000.0, ""pretax_income"": 117909369000.0, ""income_taxes"": -25205132000.0, ""minorities"": 3000.0, ""net_income"": 92704234000.0, ""interest_expense_non_operating"": 33370664000.0, ""ebit"": 151280033000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 9251919560.878244}","{""net_operating_cash_flow"": 8231273000.0, ""net_investing_cash_flow"": -79192166000.0, ""net_financing_cash_flow"": -73045865000.0, ""net_increased_decreased"": -144006758000.0, ""capital_expenditure"": 811380000.0, ""free_cash_flow"": 9042653000.0}"
IMJS.JK,2024-09-30,1,"{""total_current_assets"": 12044640276109.0, ""total_non_current_assets"": 18403598881714.0, ""total_assets"": 30448239157823.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 4105463256421.0, ""total_current_liabilities"": 11949693008322.0, ""total_non_current_liabilities"": 13883389626839.0, ""total_liabilities"": 25833082635161.0, ""total_equity"": 4615156522662.0, ""total_debt"": 24700083853293.0, ""stockholders_equity"": 4408113436331.0}","{""total_revenue"": 4058991500042.0, ""cost_of_revenue"": 2480980236566.0, ""gross_income"": 1578011263476.0, ""operating_expenses"": 1000181333821.0, ""operating_income"": 2578192597297.0, ""non_operating_income"": -2439085022356.0, ""pretax_income"": 139107574941.0, ""income_taxes"": -104422230844.0, ""minorities"": -67462735660.0, ""net_income"": 102148079757.0, ""interest_expense_non_operating"": 659734652970.0, ""ebit"": 798842227911.0, ""ebitda"": null, ""diluted_shares_outstanding"": 8656616928.559322}","{""net_operating_cash_flow"": 1374817110401.0, ""net_investing_cash_flow"": -886787759869.0, ""net_financing_cash_flow"": 1952788333768.0, ""net_increased_decreased"": 2440817684300.0, ""capital_expenditure"": 1094515026574.0, ""free_cash_flow"": 2469332136975.0}"
BABY.JK,2024-09-30,1,"{""total_current_assets"": 518626286086.0, ""total_non_current_assets"": 255907404448.0, ""total_assets"": 774533690534.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 33602520708.0, ""total_current_liabilities"": 199110366706.0, ""total_non_current_liabilities"": 128689091026.0, ""total_liabilities"": 327799457732.0, ""total_equity"": 446734232802.0, ""total_debt"": 170808053395.0, ""stockholders_equity"": 446708865001.0}","{""total_revenue"": 791025843623.0, ""cost_of_revenue"": 482495341075.0, ""gross_income"": 308530502548.0, ""operating_expenses"": 387489412704.0, ""operating_income"": 696019915252.0, ""non_operating_income"": -760929742921.0, ""pretax_income"": -64909827669.0, ""income_taxes"": 1204399986.0, ""minorities"": -78977222.0, ""net_income"": -63626450461.0, ""interest_expense_non_operating"": 16468969876.0, ""ebit"": -48440857793.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2659859784.337119}","{""net_operating_cash_flow"": 12625756727.0, ""net_investing_cash_flow"": -8957925795.0, ""net_financing_cash_flow"": -34954022221.0, ""net_increased_decreased"": -31286191289.0, ""capital_expenditure"": 8957925795.0, ""free_cash_flow"": 21583682522.0}"
KRYA.JK,2024-09-30,3,"{""total_current_assets"": 154871446669.0, ""total_non_current_assets"": 44783257027.0, ""total_assets"": 199654703696.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 22201630760.0, ""total_current_liabilities"": 80229706270.0, ""total_non_current_liabilities"": 13534956983.0, ""total_liabilities"": 93764663253.0, ""total_equity"": 105890040443.0, ""total_debt"": 54669761052.0, ""stockholders_equity"": 104896400677.0}","{""total_revenue"": 154944643473.0, ""cost_of_revenue"": 136831756806.0, ""gross_income"": 18112886667.0, ""operating_expenses"": 9697346624.0, ""operating_income"": 27810233291.0, ""non_operating_income"": -22096377068.0, ""pretax_income"": 5713856223.0, ""income_taxes"": -4174888212.0, ""minorities"": 20876593.0, ""net_income"": 1518091418.0, ""interest_expense_non_operating"": 2986888921.0, ""ebit"": 8700745144.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1668232327.4725275}","{""net_operating_cash_flow"": 585297115.0, ""net_investing_cash_flow"": 2070025989.0, ""net_financing_cash_flow"": 6133744178.0, ""net_increased_decreased"": 8789067282.0, ""capital_expenditure"": 1077138944.0, ""free_cash_flow"": 1662436059.0}"
PIPA.JK,2024-09-30,1,"{""total_current_assets"": 126590311550.0, ""total_non_current_assets"": 44890634215.0, ""total_assets"": 171480945765.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 11971875386.0, ""total_current_liabilities"": 18402824182.0, ""total_non_current_liabilities"": 7526470990.0, ""total_liabilities"": 25929295172.0, ""total_equity"": 145551650593.0, ""total_debt"": 19869704916.0, ""stockholders_equity"": 145551418581.0}","{""total_revenue"": 19841864445.0, ""cost_of_revenue"": 12877683910.0, ""gross_income"": 6964180535.0, ""operating_expenses"": 6422790841.0, ""operating_income"": 13386971376.0, ""non_operating_income"": -14078348546.0, ""pretax_income"": -691377170.0, ""income_taxes"": null, ""minorities"": -3145.0, ""net_income"": -691374025.0, ""interest_expense_non_operating"": 1290862928.0, ""ebit"": 599485758.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2919060773.0}","{""net_operating_cash_flow"": -9127476896.0, ""net_investing_cash_flow"": 16663106944.0, ""net_financing_cash_flow"": -6995007993.0, ""net_increased_decreased"": 540622055.0, ""capital_expenditure"": 509629056.0, ""free_cash_flow"": -8617847840.0}"
INDR.JK,2024-09-30,1,"{""total_current_assets"": 306529610.0, ""total_non_current_assets"": 490351429.0, ""total_assets"": 796881039.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 13279509.0, ""total_current_liabilities"": 285817845.0, ""total_non_current_liabilities"": 109948320.0, ""total_liabilities"": 395766165.0, ""total_equity"": 401114874.0, ""total_debt"": 111289906.0, ""stockholders_equity"": 396974438.0}","{""total_revenue"": 636918208.0, ""cost_of_revenue"": 636644393.0, ""gross_income"": 273815.0, ""operating_expenses"": 18883990.0, ""operating_income"": 19157805.0, ""non_operating_income"": -39608570.0, ""pretax_income"": -20450765.0, ""income_taxes"": 6401300.0, ""minorities"": -2709.0, ""net_income"": -14046756.0, ""interest_expense_non_operating"": 5232039.0, ""ebit"": -15218726.0, ""ebitda"": null, ""diluted_shares_outstanding"": 491145314.68531466}","{""net_operating_cash_flow"": 14910287.0, ""net_investing_cash_flow"": -2624455.0, ""net_financing_cash_flow"": -11722138.0, ""net_increased_decreased"": 563694.0, ""capital_expenditure"": 12137259.0, ""free_cash_flow"": 27047546.0}"
MSJA.JK,2024-09-30,1,"{""total_current_assets"": 46592451.0, ""total_non_current_assets"": 69098299.0, ""total_assets"": 115690750.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 22763283.0, ""total_current_liabilities"": 19499896.0, ""total_non_current_liabilities"": 9638188.0, ""total_liabilities"": 29138084.0, ""total_equity"": 86552666.0, ""total_debt"": 16326475.0, ""stockholders_equity"": 83816858.0}","{""total_revenue"": 50329988.0, ""cost_of_revenue"": 41593735.0, ""gross_income"": 8736253.0, ""operating_expenses"": 4601794.0, ""operating_income"": 13338047.0, ""non_operating_income"": -8360752.0, ""pretax_income"": 4977295.0, ""income_taxes"": -916722.0, ""minorities"": 9922.0, ""net_income"": 4050651.0, ""interest_expense_non_operating"": 939837.0, ""ebit"": 5917132.0, ""ebitda"": null, ""diluted_shares_outstanding"": 5870508695.652174}","{""net_operating_cash_flow"": 4662069.0, ""net_investing_cash_flow"": -7898102.0, ""net_financing_cash_flow"": 5274920.0, ""net_increased_decreased"": 2038887.0, ""capital_expenditure"": 7910237.0, ""free_cash_flow"": 12572306.0}"
NEST.JK,2024-09-30,1,"{""total_current_assets"": 315147506262.0, ""total_non_current_assets"": 135114673233.0, ""total_assets"": 450262179495.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 138408359543.0, ""total_current_liabilities"": 70062079834.0, ""total_non_current_liabilities"": 4897491923.0, ""total_liabilities"": 74959571757.0, ""total_equity"": 375302607738.0, ""total_debt"": 0.0, ""stockholders_equity"": 375301611516.0}","{""total_revenue"": 357859406549.0, ""cost_of_revenue"": 320735311510.0, ""gross_income"": 37124095039.0, ""operating_expenses"": 16456670102.0, ""operating_income"": 53580765141.0, ""non_operating_income"": -31296016508.0, ""pretax_income"": 22284748633.0, ""income_taxes"": -4788650711.0, ""minorities"": -3778.0, ""net_income"": 17496101700.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 4116729811.7647057}","{""net_operating_cash_flow"": -50323629880.0, ""net_investing_cash_flow"": 627934865.0, ""net_financing_cash_flow"": 124041525250.0, ""net_increased_decreased"": 74345830235.0, ""capital_expenditure"": 566369338.0, ""free_cash_flow"": -49757260542.0}"
TEBE.JK,2024-09-30,3,"{""total_current_assets"": 455576288000.0, ""total_non_current_assets"": 687470513000.0, ""total_assets"": 1143046801000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 396289246000.0, ""total_current_liabilities"": 54942187000.0, ""total_non_current_liabilities"": 17569810000.0, ""total_liabilities"": 72511997000.0, ""total_equity"": 1070534804000.0, ""total_debt"": null, ""stockholders_equity"": 1063423043000.0}","{""total_revenue"": 392303514000.0, ""cost_of_revenue"": 237428289000.0, ""gross_income"": 154875225000.0, ""operating_expenses"": 48220299000.0, ""operating_income"": 203095524000.0, ""non_operating_income"": -83344857000.0, ""pretax_income"": 119750667000.0, ""income_taxes"": -32261935000.0, ""minorities"": 680901000.0, ""net_income"": 86807831000.0, ""interest_expense_non_operating"": 300983000.0, ""ebit"": 120051650000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1285090.0222057735}","{""net_operating_cash_flow"": 98464174000.0, ""net_investing_cash_flow"": -1067190000.0, ""net_financing_cash_flow"": -104502429000.0, ""net_increased_decreased"": -7105445000.0, ""capital_expenditure"": 9613231000.0, ""free_cash_flow"": 108077405000.0}"
