symbol,date,industry_code,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow
SPMA.JK,2024-03-31,1,1320134250800.0,1919465596829.0,3239599847629.0,,,279270949502.0,396689536461.0,500902301454.0,897591837915.0,2342008009714.0,514321485280.0,2342008009714.0,657611177636.0,540102545228.0,117508632408.0,60449859263.0,177958491671.0,-147642527747.0,30315963924.0,-7726930127.0,,22589033797.0,12493319868.0,42809283792.0,,3227004828.142857,156245184416.0,-13054207951.0,-191213291128.0,-48022314663.0,13428795223.0,169673979639.0
SMGA.JK,2024-03-31,1,488559656887.0,30959049933.0,519518706820.0,,,4938254433.0,178593570102.0,1650895382.0,180244465484.0,339274241336.0,31244410095.0,340254846744.0,147314534337.0,135171728754.0,12142805583.0,5772266824.0,17915072407.0,-13062079629.0,4852992778.0,-1233266330.0,-314348852.0,3934075300.0,1526746682.0,6379739460.0,,8742389555.555555,-132493294621.0,-10933979730.0,147854560480.0,4427286129.0,10933979730.0,-121559314891.0
ULTJ.JK,2024-03-31,1,4739974000000.0,3232950000000.0,7972924000000.0,,,2521711000000.0,754733000000.0,124545000000.0,879278000000.0,7093646000000.0,27239000000.0,7005069000000.0,2297857000000.0,1521038000000.0,776819000000.0,304141000000.0,1080960000000.0,-560476000000.0,520484000000.0,-113042000000.0,2352000000.0,405090000000.0,567000000.0,521051000000.0,,10386.923076923076,492348000000.0,-141092000000.0,-3869000000.0,347387000000.0,146292000000.0,638640000000.0
ANDI.JK,2024-03-31,1,30980653788.0,347514195968.0,378494849756.0,,,10370581978.0,53318222305.0,150239319049.0,203557541354.0,174937308402.0,162325622404.0,174937308402.0,25526627325.0,28128884644.0,-2602257319.0,5014449091.0,2412191772.0,-10467996490.0,-8055804718.0,253769655.0,,-7802035063.0,2737864537.0,-5317940181.0,,2328965690.447761,7047802327.0,-5514771228.0,472766115.0,2005797214.0,5514771228.0,12562573555.0
STTP.JK,2024-03-31,1,4049564160679.0,1935051959813.0,5984616120492.0,,,2902320550200.0,507189378857.0,129316109702.0,636505488559.0,5348110631933.0,,5320782966746.0,1214202956133.0,842642928218.0,371560027915.0,87442822180.0,459002850095.0,100048911033.0,559051761128.0,-54061908607.0,229084431.0,504760768090.0,0.0,559051761128.0,,1310000000.0,306669536880.0,194710479292.0,0.0,501380016172.0,15242779602.0,321912316482.0
ARTI.JK,2024-03-31,1,33625122426.0,560672720303.0,594297842729.0,,,438622690.0,754198587845.0,7533660728.0,761732248573.0,-167434405844.0,7638503040.0,-173787701984.0,6879687700.0,4079338342.0,2800349358.0,5623278212.0,8423627570.0,-10803608186.0,-2379980616.0,,-164567865.0,-2215412751.0,,,,7297889676.526676,-11988336684.0,-300000000.0,11731697461.0,-556639223.0,300000000.0,-11688336684.0
AWAN.JK,2024-03-31,1,54269093000.0,44715105000.0,98984198000.0,,,22564491000.0,2962656000.0,2833543000.0,5796199000.0,93187999000.0,1032705000.0,92895727000.0,11581005000.0,4986282000.0,6594723000.0,5109960000.0,11704683000.0,-9618448000.0,2086235000.0,-515856000.0,-8611000.0,1578990000.0,,,,3432586.9565217393,-4629489000.0,-2165432000.0,-95176000.0,-6890097000.0,2165432000.0,-2464057000.0
BTON.JK,2024-03-31,1,333619012787.0,46620029213.0,380239042000.0,,,657763131.0,107792168644.0,1543702918.0,109335871562.0,270903170438.0,,270903170438.0,26106548840.0,23047694960.0,3058853880.0,3668976329.0,6727830209.0,5743274940.0,12471105149.0,815189637.0,,13286294786.0,0.0,12471105149.0,,720124378.6449865,180184007.0,-397400000.0,0.0,-217215993.0,397400000.0,577584007.0
AYAM.JK,2024-03-31,1,126047391655.0,242531477578.0,368578869233.0,,,6841095424.0,154999846551.0,10310568675.0,165310415226.0,203268454007.0,23205000341.0,203268454007.0,97453253711.0,91263832405.0,6189421306.0,3007157387.0,9196578693.0,-5957483320.0,3239095373.0,-719016990.0,,2520078383.0,1017666537.0,4256761910.0,,4000124417.4603176,-1305794396.0,-714391251.0,-2053221057.0,-4073406704.0,714391251.0,-591403145.0
PRAY.JK,2024-03-31,1,1711207000000.0,3099527000000.0,4810734000000.0,,,1019197000000.0,491757000000.0,1304282000000.0,1796039000000.0,3014695000000.0,1286371000000.0,2879486000000.0,520417000000.0,370850000000.0,149567000000.0,82076000000.0,231643000000.0,-135563000000.0,96080000000.0,-15929000000.0,-876000000.0,81027000000.0,22898000000.0,118978000000.0,,13970.172413793103,26100000000.0,-40734000000.0,8229000000.0,-6405000000.0,52234000000.0,78334000000.0
BBLD.JK,2024-03-31,8,,,6400063000000.0,466120000000.0,,466120000000.0,,,4982358000000.0,1417705000000.0,,1417705000000.0,99736000000.0,,99736000000.0,69553000000.0,414000000.0,30183000000.0,30597000000.0,-6229000000.0,,24368000000.0,,,,1645.3747467927076,-436115000000.0,-6964000000.0,571320000000.0,128241000000.0,7044000000.0,-429071000000.0
EMDE.JK,2024-03-31,2,1512549462248.0,2025628171127.0,3538177633375.0,,,67640488541.0,1127036101320.0,1061104436485.0,2188140537805.0,1350037095570.0,958819775849.0,1341515393366.0,43598348031.0,15944506722.0,27653841309.0,16990512292.0,44644353601.0,-50322622397.0,-5678268796.0,-2244843033.0,-37697577.0,-7923111829.0,15861706615.0,10183437819.0,,3355495426.3829784,3455286445.0,-119389169.0,10421004649.0,13756901925.0,19389169.0,3474675614.0
SMCB.JK,2024-03-31,1,5691931000000.0,16165284000000.0,21857215000000.0,,,237752000000.0,5078671000000.0,4199993000000.0,9278664000000.0,12578551000000.0,2967275000000.0,12578551000000.0,2772818000000.0,2302657000000.0,470161000000.0,299654000000.0,769815000000.0,-667203000000.0,102612000000.0,-28675000000.0,,73937000000.0,64142000000.0,166754000000.0,,9242.125,38594000000.0,-108083000000.0,-32082000000.0,-101571000000.0,108063000000.0,146657000000.0
TAMA.JK,2024-03-31,2,18690879832.0,173461226144.0,192152105976.0,,,2427040395.0,53584164811.0,85426898905.0,139011063716.0,53141042260.0,134598948334.0,53141042260.0,10226582924.0,5706268669.0,4520314255.0,1696503597.0,6216817852.0,-5642537164.0,574280688.0,-387557466.0,,186723222.0,2249203359.0,2823484047.0,,1167020137.5,4236759402.0,232483298.0,-2639898144.0,1829344556.0,,
SSMS.JK,2024-03-31,1,5724795058000.0,6431689847000.0,12156484905000.0,,,1376693232000.0,4994592490000.0,4874926803000.0,9869519293000.0,2286965612000.0,7826457048000.0,2037997407000.0,2519043162000.0,1747671750000.0,771371412000.0,335108894000.0,1106480306000.0,-722961543000.0,383518763000.0,-96975617000.0,9635810000.0,276907336000.0,166077596000.0,549596359000.0,,9525536.154110767,438354706000.0,10674464000.0,-310655290000.0,138373880000.0,202271118000.0,640625824000.0
ERTX.JK,2024-03-31,1,42403708.0,34905927.0,77309635.0,,,5951655.0,32570664.0,19162956.0,51733620.0,25576015.0,25480240.0,25574967.0,29925192.0,27146796.0,2778396.0,1439728.0,4218124.0,-3619793.0,598331.0,-94704.0,,503627.0,666660.0,1264991.0,,1259067500.0,4860571.0,-425851.0,-1951710.0,2483010.0,425934.0,5286505.0
GDYR.JK,2024-03-31,1,43587339.0,67559528.0,111146867.0,,,8081989.0,56253605.0,1610276.0,57863881.0,53282986.0,6006100.0,53282986.0,40501718.0,35290177.0,5211541.0,2730240.0,7941781.0,-5027453.0,2914328.0,-629332.0,,2284996.0,220944.0,3135272.0,,380832666.6666667,5695783.0,-1159203.0,-2496779.0,2039801.0,1179047.0,6874830.0
CSAP.JK,2024-03-31,1,6068651029000.0,5330661136000.0,11399312165000.0,,,227954250000.0,5721485392000.0,2117562242000.0,7839047634000.0,3560264531000.0,4281975259000.0,3361266128000.0,4278543602000.0,3564846686000.0,713696916000.0,588419000000.0,1302115916000.0,-1228905505000.0,73210411000.0,-15521022000.0,3872571000.0,53816818000.0,74997671000.0,148208082000.0,,5979646.444444444,50138547000.0,-161504035000.0,173931281000.0,62565793000.0,167236717000.0,217375264000.0
CLPI.JK,2024-03-31,1,699288270804.0,119873465183.0,819161735987.0,,,275398361014.0,233081720593.0,13706671122.0,246788391715.0,572373344272.0,85333168346.0,572302090052.0,232178292634.0,200751573112.0,31426719522.0,11946656678.0,43373376200.0,-22668084600.0,20705291600.0,-4058927150.0,7815168.0,16638549282.0,908306936.0,21613598536.0,,306362535.1132388,-4155980242.0,32664972100.0,16700000000.0,45208991858.0,,
ASLC.JK,2024-03-31,1,564469332403.0,329055142018.0,893524474421.0,,,243832550354.0,156280089394.0,16366975424.0,172647064818.0,720877409603.0,4000000000.0,706955677401.0,183318653745.0,119989003004.0,63329650741.0,48639734205.0,111969384946.0,-90857112000.0,21112272946.0,-4161720980.0,1602587446.0,15347964520.0,805182520.0,21917455466.0,,12789970433.333334,-2097784610.0,-1110811005.0,236289560.0,-2972306055.0,7003297913.0,4905513303.0
