symbol,date,gross_loan,allowance_for_loans,net_loan,non_loan_asset,total_assets,total_earning_assets,cash_only,total_cash_and_due_from_banks,current_account,savings_account,time_deposits,total_deposits,other_interest_bearing_liabilities,non_interest_bearing_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,non_loan_assets,interest_income,interest_expenses,net_interest_income,premium_income,premium_expenses,net_premium_income,non_interest_income,total_revenue,operating_expenses,provision_for_impairment,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,diluted_shares_outstanding,total_high_quality_liquid_asset,cash_outflow,cash_inflow,total_net_cash_outflow,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,realized_capital_goods_investment,free_cash_flow
VICO.JK,2024-03-31,20329487639000.0,564354488000.0,20893842127000.0,,32552649064000.0,,215004038000.0,702151185000.0,2165457373000.0,3193982062000.0,16358832522000.0,21718271957000.0,,,26101558430000.0,5127645645000.0,,3217057344000.0,11658806937000.0,550924570000.0,382734956000.0,933659526000.0,25462755000.0,20962241000.0,46424996000.0,,,,,110159232000.0,56030879000.0,53372461000.0,-7065076000.0,22648882000.0,68956267000.0,1526355032.2580645,,,,,-960472836000.0,545048072000.0,-8029640000.0,-423454404000.0,,
MFIN.JK,2024-03-31,,,,,6482687000000.0,,61837000000.0,382037000000.0,,,,,,,2994823000000.0,3487864000000.0,,3487864000000.0,,13492000000.0,65893000000.0,79385000000.0,,,,,,,87154000000.0,,,113894000000.0,-22460000000.0,,91434000000.0,2612.4,,,,,-107519000000.0,-38791000000.0,-314816000000.0,-461126000000.0,,
BABP.JK,2024-03-31,10225861000000.0,261999000000.0,10487860000000.0,,18290069000000.0,,149606000000.0,343135000000.0,902752000000.0,1996976000000.0,11019064000000.0,13918792000000.0,,,14686763000000.0,3603306000000.0,,3603306000000.0,7802209000000.0,335776000000.0,202085000000.0,537861000000.0,,,,,,,-11070000000.0,15840000000.0,3236000000.0,19076000000.0,-4227000000.0,,14849000000.0,32280.434782608696,,,,,-317128000000.0,63689000000.0,1727000000.0,-251712000000.0,,
MCOR.JK,2024-03-31,20516822000000.0,579383000000.0,21096205000000.0,,29823994000000.0,,267949000000.0,576137000000.0,3713905000000.0,1041661000000.0,16225173000000.0,20980739000000.0,,,23205450000000.0,6618544000000.0,,6618544000000.0,8727789000000.0,497833000000.0,252888000000.0,750721000000.0,,,,,,,60338000000.0,91259000000.0,3299000000.0,94322000000.0,-20751000000.0,,73571000000.0,37923.19587628866,,,,,2386096000000.0,-1250564000000.0,-462085000000.0,673447000000.0,,
BMRI.JK,2024-03-31,1393927895000000.0,52182858000000.0,1446110753000000.0,,2163785243000000.0,,26919539000000.0,74147046000000.0,527479575000000.0,529683157000000.0,287069640000000.0,1344232372000000.0,,,1666762998000000.0,268786509000000.0,,240686777000000.0,717674490000000.0,35535295000000.0,11349428000000.0,46884723000000.0,3315987000000.0,2773006000000.0,6088993000000.0,,,,3725795000000.0,17605258000000.0,-2651000000.0,17602607000000.0,-3481158000000.0,1419271000000.0,15540720000000.0,93336.60077889632,,,,,-8504759000000.0,9589158000000.0,-34025875000000.0,-32941476000000.0,,
BKSW.JK,2024-03-31,6501674000000.0,519240000000.0,7020914000000.0,,11496635000000.0,,31143000000.0,148185000000.0,977591000000.0,475262000000.0,4997765000000.0,6450618000000.0,,,6800329000000.0,4696306000000.0,,4696306000000.0,4475721000000.0,186293000000.0,67539000000.0,253832000000.0,,,,,,,11755000000.0,9032000000.0,,9032000000.0,,,9032000000.0,34738.46153846154,,,,,1014273000000.0,-937450000000.0,0.0,76823000000.0,,
SDRA.JK,2024-03-31,46240093000000.0,749187000000.0,46989280000000.0,,58336089000000.0,,649826000000.0,1302886000000.0,5683023000000.0,4344399000000.0,22379359000000.0,32406781000000.0,,,47745427000000.0,10590662000000.0,,10590662000000.0,11346809000000.0,978662000000.0,603223000000.0,1581885000000.0,,,,,,,37986000000.0,198747000000.0,620000000.0,199367000000.0,-48216000000.0,,151151000000.0,8568.650793650793,,,,,-1125658000000.0,484614000000.0,2094615000000.0,1453571000000.0,,
BSIM.JK,2024-03-31,16706110000000.0,1593563000000.0,18299673000000.0,,52221354000000.0,,613960000000.0,2454076000000.0,14868721000000.0,10735301000000.0,7603744000000.0,33207766000000.0,,,36888770000000.0,8388609000000.0,,7881472000000.0,33921681000000.0,739200000000.0,200909000000.0,940109000000.0,,,,,,,71254000000.0,119246000000.0,,119246000000.0,-24248000000.0,20270000000.0,115268000000.0,15503.734439834025,,,,,-2661801000000.0,-20512000000.0,471803000000.0,-2210510000000.0,,
MEGA.JK,2024-03-31,65513939000000.0,618926000000.0,66132865000000.0,,126532086000000.0,,1328534000000.0,1967369000000.0,11471653000000.0,16897918000000.0,65378130000000.0,93747701000000.0,,,106595251000000.0,19936835000000.0,,19936835000000.0,60399221000000.0,2598442000000.0,1217818000000.0,3816260000000.0,,,,,,,50225000000.0,984306000000.0,16238000000.0,990220000000.0,-187707000000.0,,802513000000.0,11801.661764705885,,,,,7746094000000.0,-4444402000000.0,-3109152000000.0,192540000000.0,,
BBMD.JK,2024-03-31,9762396545758.0,157631491030.0,9920028036788.0,,16108089674334.0,,188023043761.0,234394352988.0,1320608834134.0,3744210390569.0,5851451093355.0,10916270318058.0,,,11143282225275.0,4964807449059.0,,4964807449059.0,6188061637546.0,298540058779.0,74900051926.0,373440110705.0,,,,,,,3919482502.0,110589058575.0,548370048.0,110676041301.0,-24348729086.0,,86327312215.0,4026460457.789179,,,,,439824258082.0,-32869183387.0,,406955074695.0,,
BNLI.JK,2024-03-31,148598804000000.0,12122830000000.0,160721634000000.0,,252835328000000.0,,2170090000000.0,5682897000000.0,54971879000000.0,32321447000000.0,64429401000000.0,151722727000000.0,,,212027690000000.0,40807638000000.0,,40807638000000.0,92113694000000.0,4144297000000.0,1745731000000.0,5890028000000.0,,,,,,,607523000000.0,1057713000000.0,-12068000000.0,1045645000000.0,-238331000000.0,0.0,807314000000.0,36186.19453160018,,,,,-9065135000000.0,-5156876000000.0,1570818000000.0,-12651193000000.0,,
BDMN.JK,2024-03-31,147775452000000.0,7517771000000.0,155293223000000.0,,226561617000000.0,,2306903000000.0,4660173000000.0,30067158000000.0,38309081000000.0,72496395000000.0,140872634000000.0,,,177058756000000.0,49502861000000.0,,48823939000000.0,71268394000000.0,5525326000000.0,1604187000000.0,7129513000000.0,,,,,,,,1117140000000.0,53355000000.0,1103283000000.0,-237771000000.0,34266000000.0,899778000000.0,9773.615520282186,,,,,-2294647000000.0,-5266009000000.0,2743759000000.0,-4816897000000.0,,
BACA.JK,2024-03-31,7273809000000.0,28761000000.0,7302570000000.0,,19864461000000.0,,67022000000.0,90341000000.0,2076546000000.0,4154381000000.0,8126455000000.0,14357382000000.0,,,16440342000000.0,3424119000000.0,,3424119000000.0,12561891000000.0,232769000000.0,260282000000.0,493051000000.0,,,,,,,3130000000.0,18587000000.0,3040000000.0,16167000000.0,-3557000000.0,,12610000000.0,20015.87301587301,,,,,5592000000.0,-14188000000.0,,-8596000000.0,,
