symbol,year,period
AALI.JK,2024,tw1
YOII.JK,2024,tw1
CBDK.JK,2024,tw1
GUNA.JK,2024,tw1
DGWG.JK,2024,tw1
HEAL.JK,2024,tw1
KBLM.JK,2024,tw1
OBAT.JK,2024,tw1
KRAH.JK,2024,tw1
AADI.JK,2024,tw1
TRIM.JK,2024,tw1
DAAZ.JK,2024,tw1
IPPE.JK,2024,tw1
GSMF.JK,2024,tw1
TMAS.JK,2024,tw1
MDIY.JK,2024,tw1
BOAT.JK,2024,tw1
ETWA.JK,2024,tw1
AKRA.JK,2024,tw1
SIDO.JK,2024,tw1
JMAS.JK,2024,tw1
SOFA.JK,2024,tw1
GTSI.JK,2024,tw1
ADMF.JK,2024,tw1
BBTN.JK,2024,tw1
DIGI.JK,2024,tw1
PACK.JK,2024,tw1
MTEL.JK,2024,tw1
PKPK.JK,2024,tw1
HADE.JK,2024,tw1
RSGK.JK,2024,tw1
NAIK.JK,2024,tw1
ACST.JK,2024,tw1
NIKL.JK,2024,tw1
CRAB.JK,2024,tw1
POLY.JK,2024,tw1
MAMI.JK,2024,tw1
ITIC.JK,2024,tw1
CEKA.JK,2024,tw1
LMAS.JK,2024,tw1
KBRI.JK,2024,tw1
STAA.JK,2024,tw1
BINA.JK,2024,tw1
PADI.JK,2024,tw1
BOBA.JK,2024,tw1
PANI.JK,2024,tw1
VTNY.JK,2024,tw1
BUMI.JK,2024,tw1
BOSS.JK,2024,tw1
PJAA.JK,2024,tw1
AVIA.JK,2024,tw1
HBAT.JK,2024,tw1
KICI.JK,2024,tw1
VERN.JK,2024,tw1
KEJU.JK,2024,tw1
YULE.JK,2024,tw1
DOSS.JK,2024,tw1
GOLF.JK,2024,tw1
PTMR.JK,2024,tw1
DWGL.JK,2024,tw1
KRYA.JK,2024,tw1
NEST.JK,2024,tw1
ATLA.JK,2024,tw1
BEEF.JK,2024,tw1
SOUL.JK,2024,tw1
PNGO.JK,2024,tw1
COCO.JK,2024,tw1
DNAR.JK,2024,tw1
BRRC.JK,2024,tw1
RATU.JK,2024,tw1
HGII.JK,2024,tw1
TPMA.JK,2024,tw1
FIMP.JK,2024,tw1
BMSR.JK,2024,tw1
KSIX.JK,2024,tw1
PNBN.JK,2024,tw1
MHKI.JK,2024,tw1
UNIT.JK,2024,tw1
SNLK.JK,2024,tw1
AYLS.JK,2024,tw1
ARNA.JK,2024,tw1
SAME.JK,2024,tw1
FLMC.JK,2024,tw1
POOL.JK,2024,tw1
GAMA.JK,2024,tw1
WINS.JK,2024,tw1
TCID.JK,2024,tw1
PTSP.JK,2024,tw1
COWL.JK,2024,tw1
MAGP.JK,2024,tw1
SPRE.JK,2024,tw1
TIFA.JK,2024,tw1
MANG.JK,2024,tw1
SKYB.JK,2024,tw1
PART.JK,2024,tw1
PGJO.JK,2024,tw1
