symbol,year,period
CBDK.JK,2020,tw4
MFIN.JK,2020,tw4
GUNA.JK,2020,tw4
DGWG.JK,2020,tw4
YOII.JK,2020,tw4
OBAT.JK,2020,tw4
AADI.JK,2020,tw4
TRON.JK,2020,tw4
KRAH.JK,2020,tw4
NETV.JK,2020,tw4
DAAZ.JK,2020,tw4
IPPE.JK,2020,tw4
ASLI.JK,2020,tw4
JARR.JK,2020,tw4
HALO.JK,2020,tw4
KOKA.JK,2020,tw4
MDIY.JK,2020,tw4
ERAL.JK,2020,tw4
BOAT.JK,2020,tw4
BAIK.JK,2020,tw4
JMAS.JK,2020,tw4
MERK.JK,2020,tw4
ACRO.JK,2020,tw4
BUKA.JK,2020,tw4
ASHA.JK,2020,tw4
GTSI.JK,2020,tw4
ADMR.JK,2020,tw4
PACK.JK,2020,tw4
MTEL.JK,2020,tw4
RONY.JK,2020,tw4
RSGK.JK,2020,tw4
NAIK.JK,2020,tw4
CPRO.JK,2020,tw4
PEVE.JK,2020,tw4
RGAS.JK,2020,tw4
NTBK.JK,2020,tw4
CRAB.JK,2020,tw4
AXIO.JK,2020,tw4
TOSK.JK,2020,tw4
MKTR.JK,2020,tw4
KBRI.JK,2020,tw4
NICE.JK,2020,tw4
STAA.JK,2020,tw4
TOOL.JK,2020,tw4
DATA.JK,2020,tw4
TGUK.JK,2020,tw4
MSTI.JK,2020,tw4
HBAT.JK,2020,tw4
BOBA.JK,2020,tw4
VINS.JK,2020,tw4
VERN.JK,2020,tw4
VTNY.JK,2020,tw4
DOSS.JK,2020,tw4
CBRE.JK,2020,tw4
AVIA.JK,2020,tw4
RMKE.JK,2020,tw4
SMLE.JK,2020,tw4
KOCI.JK,2020,tw4
CGAS.JK,2020,tw4
GOLF.JK,2020,tw4
TYRE.JK,2020,tw4
PTMR.JK,2020,tw4
ZATA.JK,2020,tw4
HAIS.JK,2020,tw4
NSSS.JK,2020,tw4
RICY.JK,2020,tw4
BABY.JK,2020,tw4
COAL.JK,2020,tw4
PIPA.JK,2020,tw4
KRYA.JK,2020,tw4
NEST.JK,2020,tw4
MSJA.JK,2020,tw4
ATLA.JK,2020,tw4
PRAY.JK,2020,tw4
BREN.JK,2020,tw4
BMHS.JK,2020,tw4
HOPE.JK,2020,tw4
OBMD.JK,2020,tw4
SOUL.JK,2020,tw4
GRPH.JK,2020,tw4
BRRC.JK,2020,tw4
SMGA.JK,2020,tw4
HGII.JK,2020,tw4
RATU.JK,2020,tw4
FIMP.JK,2020,tw4
AWAN.JK,2020,tw4
KSIX.JK,2020,tw4
AYAM.JK,2020,tw4
UNIT.JK,2020,tw4
MHKI.JK,2020,tw4
FLMC.JK,2020,tw4
TCID.JK,2020,tw4
ASLC.JK,2020,tw4
MMIX.JK,2020,tw4
NCKL.JK,2020,tw4
LINK.JK,2020,tw4
COWL.JK,2020,tw4
ALII.JK,2020,tw4
HATM.JK,2020,tw4
SPRE.JK,2020,tw4
MKAP.JK,2020,tw4
MANG.JK,2020,tw4
SKYB.JK,2020,tw4
PART.JK,2020,tw4
CENT.JK,2020,tw4
SOLA.JK,2020,tw4
HYGN.JK,2020,tw4
LAJU.JK,2020,tw4
MEJA.JK,2020,tw4
LIVE.JK,2020,tw4
RCCC.JK,2020,tw4
MASB.JK,2020,tw4
MPIX.JK,2020,tw4
BINO.JK,2020,tw4
CBPE.JK,2020,tw4
AREA.JK,2020,tw4
TRGU.JK,2020,tw4
MAHA.JK,2020,tw4
