symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
TFAS.JK,2024-03-31,208118800523.0,37996806988.0,246115607511.0,,,3116769360.0,57917846720.0,2418388812.0,60336235532.0,185779371979.0,57102829021.0,183527270859.0,117864447071.0,112968000511.0,4896446560.0,4959949191.0,9856395751.0,-11812007463.0,-1955611712.0,,-22076305.0,-1933535407.0,1914059826.0,-41551886.0,,1652594364.9572651,-194707146.0,1180835000.0,-1512178124.0,-526050270.0,,,
TRON.JK,2024-03-31,167468065538.0,96498131090.0,263966196628.0,,,38414120445.0,17314058670.0,33184924270.0,50498982940.0,213467213688.0,35437406933.0,213467213688.0,30742764432.0,22134675632.0,8608088800.0,5834423821.0,14442512621.0,-12148074912.0,2294437709.0,,,2294437709.0,843434716.0,3137872425.0,,2699338481.1764708,-10982511047.0,-3887580846.0,11990000139.0,-2880091754.0,3760094286.0,-7222416761.0,
GOLD.JK,2024-03-31,61887050000.0,357480240000.0,419367290000.0,,,38954045000.0,36023702000.0,4116117000.0,40139819000.0,379227471000.0,2113346000.0,379226127000.0,12338030000.0,4534772000.0,7803258000.0,2609923000.0,10413181000.0,-5313206000.0,5099975000.0,-200171000.0,17000.0,4899804000.0,,,,1275986197.9166665,2347925000.0,-11573400000.0,-248333000.0,-9473808000.0,9166733000.0,11514658000.0,
NETV.JK,2024-03-31,692200391312.0,505828791580.0,1198029182892.0,,,17166305397.0,1927295403430.0,63983952336.0,1991279355766.0,-793250172874.0,1139349265685.0,-761478507322.0,81788646207.0,63331807975.0,18456838232.0,60814625189.0,79271463421.0,-155873621334.0,-76602157913.0,12374599125.0,-449985180.0,-63777573608.0,23439832595.0,-53162325318.0,,21259191202.666668,11958907414.0,3916208084.0,-6018291359.0,9856824139.0,4595610000.0,16554517414.0,
DPNS.JK,2024-03-31,250365153985.0,94384719083.0,344749873068.0,,,38660706140.0,6134463660.0,8281117883.0,14415581543.0,330334291525.0,,330334291525.0,17842664717.0,13333218135.0,4509446582.0,6607150618.0,11116597200.0,-8361088471.0,2755508729.0,-89383777.0,,2666124952.0,,,,331195646.2111801,15281287285.0,-33033094376.0,,-17751807091.0,8300000.0,15289587285.0,
INTP.JK,2024-03-31,8600757000000.0,20173243000000.0,28774000000000.0,,,2519995000000.0,6271436000000.0,1295024000000.0,7566460000000.0,21207540000000.0,2767101000000.0,21207540000000.0,4082568000000.0,2902396000000.0,1180172000000.0,876564000000.0,2056736000000.0,-1758719000000.0,298017000000.0,-59988000000.0,,238029000000.0,48115000000.0,346132000000.0,,3431295949.257604,-526481000000.0,-26794000000.0,-118302000000.0,-671577000000.0,27020000000.0,-499461000000.0,
SFAN.JK,2024-03-31,227501264619.0,29062906721.0,256564171340.0,,,41237684036.0,62584719681.0,4271156206.0,66855875887.0,189708295453.0,970870815.0,150347808643.0,-4220684840.0,19770632.0,-4240455472.0,10026945336.0,5786489864.0,-22757297781.0,-16970807917.0,,1836630777.0,-18807438694.0,55567664.0,-16915240253.0,,1359901568.6189444,-129920288.0,-3026386606.0,-136520258.0,-3292827152.0,25811775.0,-104108513.0,
BWPT.JK,2024-03-31,1378524000000.0,8711119000000.0,10089643000000.0,,,63008000000.0,3579257000000.0,4277218000000.0,7856475000000.0,2233168000000.0,4604143000000.0,2220540000000.0,943361000000.0,666168000000.0,277193000000.0,94311000000.0,371504000000.0,-289321000000.0,82183000000.0,-31297000000.0,3393000000.0,47493000000.0,121033000000.0,203216000000.0,,31041.176470588234,236411000000.0,-6139000000.0,-194633000000.0,35639000000.0,6200000000.0,242611000000.0,
JAWA.JK,2024-03-31,337190877756.0,3393457344476.0,3730648222232.0,,,9076653171.0,681196028568.0,2034421692965.0,2715617721533.0,1015030500699.0,1879844379117.0,1006912905806.0,190935051293.0,189394347907.0,1540703386.0,13305619325.0,14846322711.0,-46986903173.0,-32140580462.0,-3901331593.0,-137087892.0,-35904824163.0,45436731222.0,13296150760.0,,16246526770.588236,-53124441966.0,-27203538544.0,82373410921.0,2045430411.0,27115581348.0,-26008860618.0,
DART.JK,2024-03-31,122534504000.0,6169700607000.0,6292235111000.0,,,35768596000.0,1067326327000.0,3562456306000.0,4629782633000.0,1662452478000.0,3481533091000.0,1662480945000.0,115552660000.0,65741190000.0,49811470000.0,37676752000.0,87488222000.0,-159411375000.0,-71923153000.0,-4153476000.0,-999000.0,-76076629000.0,82002087000.0,10078934000.0,,3169817916.6666665,9966183000.0,-2371034000.0,-10598867000.0,-3003718000.0,2181466000.0,12147649000.0,
DYAN.JK,2024-03-31,490437504640.0,673247432657.0,1163684937297.0,,,196785287029.0,368989748166.0,164175640104.0,533165388270.0,630519549027.0,243829316972.0,604840820992.0,383391976838.0,245083739732.0,138308237106.0,87736899170.0,226045136276.0,-180019826173.0,46025310103.0,-8291028227.0,-2649855118.0,40384136994.0,5256017321.0,51281327424.0,,4487126332.666667,1533927785.0,-15930179973.0,-26263236436.0,-40659488624.0,15262156949.0,16796084734.0,
INTA.JK,2024-03-31,771781000000.0,1631421000000.0,2403202000000.0,,,90159000000.0,773807000000.0,3574895000000.0,4348702000000.0,-1945500000000.0,3656031000000.0,-1738045000000.0,283399000000.0,216735000000.0,66664000000.0,43063000000.0,109727000000.0,-110261000000.0,-534000000.0,-13839000000.0,-6382000000.0,-7991000000.0,36663000000.0,36129000000.0,,3995.5,3758000000.0,5467000000.0,-20529000000.0,-11304000000.0,476000000.0,4234000000.0,
JARR.JK,2024-03-31,1321320053973.0,2290080527226.0,3611400581199.0,,,192255603339.0,311786612720.0,1827911493045.0,2139698105765.0,1471702475434.0,1907427447937.0,1471702475434.0,826998281252.0,761736722564.0,65261558688.0,10787736682.0,76049295370.0,-37419859894.0,38629435476.0,-8498475804.0,,30130959672.0,19800071192.0,58429506668.0,,9242625666.25767,82340572692.0,-28987906716.0,-21314670622.0,32037995354.0,29437906716.0,111778479408.0,
