symbol,date,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
AALI.JK,2024-06-30,"{""total_current_assets"": 8501375000000.0, ""total_non_current_assets"": 21149109000000.0, ""total_assets"": 29650484000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 3987501000000.0, ""total_current_liabilities"": 4459708000000.0, ""total_non_current_liabilities"": 2442690000000.0, ""total_liabilities"": 6902398000000.0, ""total_equity"": 22748086000000.0, ""total_debt"": 4157271000000.0, ""stockholders_equity"": 22205022000000.0}","{""total_revenue"": 10313247000000.0, ""cost_of_revenue"": 9029521000000.0, ""gross_income"": 1283726000000.0, ""operating_expenses"": 704336000000.0, ""operating_income"": 1988062000000.0, ""non_operating_income"": -1276484000000.0, ""pretax_income"": 711578000000.0, ""income_taxes"": -190129000000.0, ""minorities"": 20407000000.0, ""net_income"": 501042000000.0, ""interest_expense_non_operating"": 148512000000.0, ""ebit"": 860090000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1924.7157344806392}","{""net_operating_cash_flow"": 2641815000000.0, ""net_investing_cash_flow"": -379042000000.0, ""net_financing_cash_flow"": -400164000000.0, ""net_increased_decreased"": 1862609000000.0, ""capital_expenditure"": 379042000000.0, ""free_cash_flow"": 3020857000000.0}"
GUNA.JK,2024-06-30,"{""total_current_assets"": 512282287994.0, ""total_non_current_assets"": 348196291288.0, ""total_assets"": 860478579282.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 56917322710.0, ""total_current_liabilities"": 255122187774.0, ""total_non_current_liabilities"": 28650506568.0, ""total_liabilities"": 283772694342.0, ""total_equity"": 576705884940.0, ""total_debt"": 36357728264.0, ""stockholders_equity"": 448949945509.0}","{""total_revenue"": 701480989402.0, ""cost_of_revenue"": 622208352590.0, ""gross_income"": 79272636812.0, ""operating_expenses"": 38999689202.0, ""operating_income"": 118272326014.0, ""non_operating_income"": -81408275753.0, ""pretax_income"": 36864050261.0, ""income_taxes"": -8128349662.0, ""minorities"": 6443738323.0, ""net_income"": 22291962276.0, ""interest_expense_non_operating"": 5204254529.0, ""ebit"": 42068304790.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2026542025.090909}","{""net_operating_cash_flow"": 18634377480.0, ""net_investing_cash_flow"": -59990636751.0, ""net_financing_cash_flow"": 19135885346.0, ""net_increased_decreased"": -22220373925.0, ""capital_expenditure"": 60391597616.0, ""free_cash_flow"": 79025975096.0}"
VICO.JK,2024-06-30,"{""gross_loan"": 20717952851000.0, ""allowance_for_loans"": 469790426000.0, ""net_loan"": 21187743277000.0, ""non_loan_asset"": null, ""total_assets"": 32548268108000.0, ""total_earning_assets"": null, ""cash_only"": 95021652000.0, ""total_cash_and_due_from_banks"": 387823641000.0, ""current_account"": 1914722061000.0, ""savings_account"": 3282888123000.0, ""time_deposits"": 16428984983000.0, ""total_deposits"": 21626595167000.0, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 26084870728000.0, ""total_equity"": 5134214780000.0, ""total_debt"": null, ""stockholders_equity"": 3213130670000.0, ""non_loan_assets"": 11360524831000.0}","{""interest_income"": 332187925000.0, ""interest_expenses"": null, ""net_interest_income"": null, ""premium_income"": 50686207000.0, ""premium_expenses"": 36324055000.0, ""net_premium_income"": 87010262000.0, ""non_interest_income"": null, ""total_revenue"": null, ""operating_expenses"": null, ""provision_for_impairment"": null, ""operating_income"": 221697659000.0, ""non_operating_income"": 103994748000.0, ""pretax_income"": 117455727000.0, ""income_taxes"": -31371295000.0, ""minorities"": 41384956000.0, ""net_income"": 127469388000.0, ""diluted_shares_outstanding"": 1520390340.1360545}","{""total_high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""total_net_cash_outflow"": null, ""net_operating_cash_flow"": -1131931472000.0, ""net_investing_cash_flow"": 215033993000.0, ""net_financing_cash_flow"": 13565061000.0, ""net_increased_decreased"": -903332418000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null}"
MFIN.JK,2024-06-30,"{""gross_loan"": null, ""allowance_for_loans"": null, ""net_loan"": null, ""non_loan_asset"": null, ""total_assets"": 6287402000000.0, ""total_earning_assets"": null, ""cash_only"": 60447000000.0, ""total_cash_and_due_from_banks"": 511559000000.0, ""current_account"": null, ""savings_account"": null, ""time_deposits"": null, ""total_deposits"": null, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 2677612000000.0, ""total_equity"": 3609790000000.0, ""total_debt"": null, ""stockholders_equity"": 3609790000000.0, ""non_loan_assets"": null}","{""interest_income"": 22475000000.0, ""interest_expenses"": 125962000000.0, ""net_interest_income"": 148437000000.0, ""premium_income"": null, ""premium_expenses"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_expenses"": null, ""provision_for_impairment"": 188416000000.0, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 267963000000.0, ""income_taxes"": -54603000000.0, ""minorities"": null, ""net_income"": 213360000000.0, ""diluted_shares_outstanding"": 2634.074074074074}","{""total_high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""total_net_cash_outflow"": null, ""net_operating_cash_flow"": -159690000000.0, ""net_investing_cash_flow"": -57441000000.0, ""net_financing_cash_flow"": -630022000000.0, ""net_increased_decreased"": -847153000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null}"
TFAS.JK,2024-06-30,"{""total_current_assets"": 213531315370.0, ""total_non_current_assets"": 36741144765.0, ""total_assets"": 250272460135.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2562895636.0, ""total_current_liabilities"": 66705409574.0, ""total_non_current_liabilities"": 2324763351.0, ""total_liabilities"": 69030172925.0, ""total_equity"": 181242287210.0, ""total_debt"": 52556233931.0, ""stockholders_equity"": 179014146949.0}","{""total_revenue"": 220555491114.0, ""cost_of_revenue"": 213903144715.0, ""gross_income"": 6652346399.0, ""operating_expenses"": 10144619317.0, ""operating_income"": 16796965716.0, ""non_operating_income"": -23484098570.0, ""pretax_income"": -6687132854.0, ""income_taxes"": 0.0, ""minorities"": -46037164.0, ""net_income"": -6641095690.0, ""interest_expense_non_operating"": 3570428624.0, ""ebit"": -3116704230.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1656133588.5286784}","{""net_operating_cash_flow"": -9666089157.0, ""net_investing_cash_flow"": -5841750000.0, ""net_financing_cash_flow"": 14427915169.0, ""net_increased_decreased"": -1079923988.0, ""capital_expenditure"": 750000.0, ""free_cash_flow"": -9665339157.0}"
TRON.JK,2024-06-30,"{""total_current_assets"": 170556052952.0, ""total_non_current_assets"": 102561107363.0, ""total_assets"": 273117160315.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 41036328130.0, ""total_current_liabilities"": 39017352148.0, ""total_non_current_liabilities"": 18265700933.0, ""total_liabilities"": 57283053081.0, ""total_equity"": 215834107234.0, ""total_debt"": 36407230403.0, ""stockholders_equity"": 215834107234.0}","{""total_revenue"": 63769770765.0, ""cost_of_revenue"": 48018003977.0, ""gross_income"": 15751766788.0, ""operating_expenses"": 9759174706.0, ""operating_income"": 25510941494.0, ""non_operating_income"": -20849610238.0, ""pretax_income"": 4661331256.0, ""income_taxes"": null, ""minorities"": null, ""net_income"": 4661331256.0, ""interest_expense_non_operating"": 1752388805.0, ""ebit"": 6413720061.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2694411130.635838}","{""net_operating_cash_flow"": 5762868625.0, ""net_investing_cash_flow"": -14060794929.0, ""net_financing_cash_flow"": 8040042235.0, ""net_increased_decreased"": -257884069.0, ""capital_expenditure"": 14060794929.0, ""free_cash_flow"": 19823663554.0}"
HEAL.JK,2024-06-30,"{""total_current_assets"": 2205466000000.0, ""total_non_current_assets"": 7675621000000.0, ""total_assets"": 9881087000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 949522000000.0, ""total_current_liabilities"": 1535683000000.0, ""total_non_current_liabilities"": 2691599000000.0, ""total_liabilities"": 4227282000000.0, ""total_equity"": 5653805000000.0, ""total_debt"": 2916132000000.0, ""stockholders_equity"": 4256885000000.0}","{""total_revenue"": 3344256000000.0, ""cost_of_revenue"": 2058980000000.0, ""gross_income"": 1285276000000.0, ""operating_expenses"": 673517000000.0, ""operating_income"": 1958793000000.0, ""non_operating_income"": -1402575000000.0, ""pretax_income"": 556218000000.0, ""income_taxes"": -114357000000.0, ""minorities"": 98704000000.0, ""net_income"": 343157000000.0, ""interest_expense_non_operating"": 75388000000.0, ""ebit"": 631606000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 14791249999.999998}","{""net_operating_cash_flow"": 533082000000.0, ""net_investing_cash_flow"": -1118277000000.0, ""net_financing_cash_flow"": 679505000000.0, ""net_increased_decreased"": 94310000000.0, ""capital_expenditure"": 1118640000000.0, ""free_cash_flow"": 1651722000000.0}"
GOLD.JK,2024-06-30,"{""total_current_assets"": 59342745000.0, ""total_non_current_assets"": 362821045000.0, ""total_assets"": 422163790000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 41634588000.0, ""total_current_liabilities"": 33675388000.0, ""total_non_current_liabilities"": 4168958000.0, ""total_liabilities"": 37844346000.0, ""total_equity"": 384319444000.0, ""total_debt"": 2113346000.0, ""stockholders_equity"": 384318084000.0}","{""total_revenue"": 25229125000.0, ""cost_of_revenue"": 9581745000.0, ""gross_income"": 15647380000.0, ""operating_expenses"": 5263093000.0, ""operating_income"": 20910473000.0, ""non_operating_income"": -10955301000.0, ""pretax_income"": 9955172000.0, ""income_taxes"": -325961000.0, ""minorities"": 33000.0, ""net_income"": 9629211000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1277079310.3448277}","{""net_operating_cash_flow"": 12388689000.0, ""net_investing_cash_flow"": -18783621000.0, ""net_financing_cash_flow"": -398333000.0, ""net_increased_decreased"": -6793265000.0, ""capital_expenditure"": 16069454000.0, ""free_cash_flow"": 28458143000.0}"
KBLM.JK,2024-06-30,"{""total_current_assets"": 572061628252.0, ""total_non_current_assets"": 1064536269207.0, ""total_assets"": 1636597897459.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 19058768694.0, ""total_current_liabilities"": 329064452060.0, ""total_non_current_liabilities"": 21631607778.0, ""total_liabilities"": 350696059838.0, ""total_equity"": 1285901837621.0, ""total_debt"": null, ""stockholders_equity"": 1285901837621.0}","{""total_revenue"": 877882210401.0, ""cost_of_revenue"": 820539525292.0, ""gross_income"": 57342685109.0, ""operating_expenses"": 20181208211.0, ""operating_income"": 77523893320.0, ""non_operating_income"": -38498021743.0, ""pretax_income"": 39025871577.0, ""income_taxes"": -8913137067.0, ""minorities"": null, ""net_income"": 30112734510.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1115286463.3333333}","{""net_operating_cash_flow"": -2749267140.0, ""net_investing_cash_flow"": -33260760675.0, ""net_financing_cash_flow"": null, ""net_increased_decreased"": -36010027815.0, ""capital_expenditure"": 33263460675.0, ""free_cash_flow"": 30514193535.0}"
TRIM.JK,2024-06-30,"{""total_current_assets"": null, ""total_non_current_assets"": null, ""total_assets"": 5309858716000.0, ""cash_only"": 452782190000.0, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": null, ""total_current_liabilities"": null, ""total_non_current_liabilities"": null, ""total_liabilities"": 4008615454000.0, ""total_equity"": 1301243262000.0, ""total_debt"": null, ""stockholders_equity"": 1301050285000.0}","{""total_revenue"": 387699720000.0, ""cost_of_revenue"": null, ""gross_income"": null, ""operating_expenses"": 64390576000.0, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 108775327000.0, ""income_taxes"": -25328135000.0, ""minorities"": null, ""net_income"": 83447192000.0, ""interest_expense_non_operating"": 239312397000.0, ""ebit"": 348087724000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 7109300.0}","{""net_operating_cash_flow"": -226027368000.0, ""net_investing_cash_flow"": -3173238000.0, ""net_financing_cash_flow"": 481961351000.0, ""net_increased_decreased"": 252760745000.0, ""capital_expenditure"": 9222768000.0, ""free_cash_flow"": -216804600000.0}"
