symbol,period,year,cash_only,total_assets,total_liabilities,stockholders_equity,total_equity,pretax_income,operating_income,net_income,net_operating_cash_flow,total_non_current_assets,total_current_liabilities,total_revenue,gross_income
ASBI.JK,tw2,2024,20391703000,957876223000,543152526000,406095003000,406304957000,3806889000,3776412000,3776412000,11453797000,,,,
IPPE.JK,tw2,2024,1105458000,301806400000,13750596000,288054805000,288055804000,2304530000,1779619000,1779619000,4069929000,201883832000.0,8244778000.0,18824254000.0,5275688000.0
ARTA.JK,tw1,2024,22469024803,285443463101,15697533343,157791339358,269745929758,-3495360356,-3267763470,-3267763470,-3874854264,245942005569.0,8468237597.0,16016275115.0,7196755700.0
CCSI.JK,tw1,2024,20541753000,735229279000,333400245000,401828408000,401829034000,-10731079000,-8254644000,-8254644000,17212784000,349671371000.0,256401776000.0,56018210000.0,5049036000.0
JATI.JK,tw1,2024,73744339272,337337746466,175005738856,162332007610,162332007610,424902548,208424834,208424834,53576707887,93464728007.0,162368333414.0,130741831460.0,16654854729.0
JATI.JK,tw2,2024,41730374140,293140303054,131355084417,161785218637,161785218637,988996266,465178510,465178510,-22542251077,96985199744.0,121135638090.0,254574728702.0,31954988182.0
RUNS.JK,tw2,2024,7729274002,87659424191,25413871907,58645052681,62245552284,-3520661605,-3520661605,-3520661605,5100405070,58485318110.0,8113821079.0,8042599559.0,6773482103.0
MEDS.JK,tw1,2024,656592056,73762682072,9564101286,64198580786,64198580786,-943228941,-939818719,-939818719,1529699259,52554929326.0,4581731811.0,4837130217.0,2459102609.0
MEDS.JK,tw2,2024,727422724,70624353583,9183402930,61440950653,61440950653,-3700859074,-3697448852,-3697448852,2330560505,51436606552.0,4907774108.0,5440807628.0,2819876205.0
COCO.JK,tw1,2024,25758700266,458577211461,316720443499,141854514032,141856767962,-8742026154,-8742026154,-8746298958,-29730114174,209764337884.0,91993375372.0,41485761358.0,5746436448.0
COCO.JK,tw2,2024,11205542396,447577940466,329918687577,117652330719,117659252889,-32943814031,-32943814031,-32943814031,-39489848595,212826111656.0,105883214161.0,80342322513.0,785538054.0
IDEA.JK,tw2,2024,2197770515,77603211177,14631401698,62970340244,62971809479,956785663,956785663,956785663,1087189374,70543263201.0,6471640492.0,10962298786.0,7112118420.0
HBAT.JK,tw2,2024,4595189701,75974139620,1899360526,74074779094,74074779094,4691473347,4245815574,4245815574,-1393466267,18764511644.0,1284396116.0,17821310986.0,8859376170.0
GLOB.JK,tw1,2024,1439934831,8874528019,1013252869017,-1004375837675,-1004378340998,834902072,834902072,834902072,1772526124,888393584.0,929308508704.0,43046044076.0,2951774700.0
GLOB.JK,tw2,2024,1062870457,8533448542,1011328202996,-1002792251131,-1002794754454,2418488616,2418488616,2418488616,4395461750,888726513.0,968630279835.0,87801459715.0,6026580630.0
KDTN.JK,tw1,2024,15690078557,74435946519,7455314991,66980631528,66980631528,219178162,219178162,219178162,-386333011,51601562856.0,3925556587.0,7281729159.0,2881755625.0
KDTN.JK,tw2,2024,12574103566,74434490604,8773107775,65661382829,65661382829,247924347,247924347,247924347,-943154230,53740981297.0,5243349372.0,14974460454.0,5900692633.0
PANR.JK,tw1,2024,187855642000,1830192544000,991045321000,596607567000,839147223000,19835913000,18066909000,18066909000,23194890000,1044476427000.0,549470906000.0,646214539000.0,65902120000.0
PANR.JK,tw2,2024,167062861000,1737487003000,925287109000,591721247000,812199894000,61222845000,51223596000,51223596000,22662922000,1044921493000.0,487294626000.0,1510395493000.0,151366085000.0
MBTO.JK,tw1,2024,2275019584,681522212079,314659671238,366851135248,366862540841,-2589734575,-2283531211,-2283531211,-563414138,511765140197.0,271036135578.0,106790882102.0,40128494447.0
MBTO.JK,tw2,2024,3178704024,682974312180,313066069052,369896869115,369908243128,1482754819,762171076,762171076,-3907028358,512305493601.0,266718221454.0,229048107924.0,89988215750.0
BBSS.JK,tw1,2024,679217953,251308424531,4084768975,247223655556,247223655556,-319820851,-331154184,-331154184,-370402145,166386436568.0,1628783325.0,145833332.0,122500008.0
BBSS.JK,tw2,2024,336386184,251017065016,3994732624,247022332392,247022332392,-512421794,-532477348,-532477348,-713233914,164311374182.0,1575135862.0,265555553.0,233888899.0
BMBL.JK,tw2,2024,190429957,82051852046,2839399543,79212452503,79212452503,184622676,144087191,144087191,85509762,59569034011.0,1469058345.0,7917235800.0,5484096315.0
BAUT.JK,tw1,2024,1624088133,252045823116,53929785011,198059561474,198116038105,427144120,251806780,251806780,2796121439,26140269736.0,49787104512.0,41280369361.0,11265874601.0
BAUT.JK,tw2,2024,185673454,256867732939,61574857059,195250977527,195292875880,-1478193138,-1601597611,-1601597611,3879674997,25656935270.0,57636863161.0,78848628731.0,20755943128.0
DGNS.JK,tw1,2024,6619078856,288300876564,92492613764,195808262800,195808262800,217842888,217842888,217842888,8511320162,192373296403.0,31304487547.0,41745483316.0,18939687353.0
DGNS.JK,tw2,2024,8264310653,290332756584,93935781869,196396974715,196396974715,48921607,1157887248,1157887248,11834139300,194758142905.0,28347838751.0,81045597588.0,36045128858.0
OILS.JK,tw1,2024,10611517651,209532787020,125411372562,84121414458,84121414458,-396307740,-364764780,-364764780,948624622,65827663727.0,113748701584.0,157359349460.0,9857237742.0
OILS.JK,tw2,2024,5711173072,208317880194,121123648935,87194231259,87194231259,3477998331,2708052021,2708052021,-10525650985,66697305826.0,109460977957.0,310397358243.0,22608652022.0
OKAS.JK,tw1,2024,8560335,182930084,140822589,13149696,42107495,7443360,5861069,5861069,6271797,103393771.0,75887129.0,43956755.0,12745789.0
