symbol,date,industry_code,total_non_current_assets,total_assets,total_current_liabilities,total_liabilities,stockholders_equity,total_equity,cash_and_short_term_investments,cash_only,total_cash_and_due_from_banks,total_debt,total_revenue,gross_income,pretax_income,income_taxes,operating_income,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,free_cash_flow
ALKA.JK,2024-06-30,1,11124284000.0,292262580000,85677625000.0,88049106000,204102598000,204213474000,180965363000.0,,,105000000.0,29585694000.0,9120682000.0,-2138474000,445000.0,-2138029000,-2138029000,6164341000.0,4025867000.0,,-507451.02040816325,-128495657000,-124350989000.0
GLVA.JK,2024-03-31,1,85024000000.0,899397000000,466819000000.0,490419000000,361792000000,408978000000,51304000000.0,,,346517000000.0,424434000000.0,53411000000.0,21664000000,-5119000000.0,16545000000,16545000000,-5187000000.0,16477000000.0,,1499.80879541109,211425000000,220105000000.0
GLVA.JK,2024-06-30,1,74146000000.0,1030259000000,609210000000.0,630058000000,347981000000,400201000000,100156000000.0,,,410832000000.0,943817000000.0,117330000000.0,39650000000,-9382000000.0,30268000000,30268000000,-11318000000.0,28332000000.0,,1500.123076923077,414892000000,426925000000.0
IBFN.JK,2024-06-30,1,340151220773.0,439957388022,186770095277.0,1120403322559,-680445934537,-680445934537,52617967159.0,,,937818204757.0,11964452170.0,1129654700.0,-28981504735,-20330024671.0,-49311529406,-49311529406,-29038873984.0,-58020378719.0,,16437176468.666666,-18583298152,
TRUS.JK,2024-03-31,8,,429898209095,,47542619476,382355589619,382355589619,,,,,,,6287484743,-1185504407.0,5101980336,5101980336,,,,,-67274144380,
TRUS.JK,2024-06-30,8,,430225519871,,40445921581,389779598290,389779598290,,,,,,,15589712094,-3063723087.0,12525989007,12525989007,,,,,-54775456189,
SMKM.JK,2024-06-30,3,9374146379.0,207075772071,2353195049.0,3135754893,203940017178,203940017178,,,,,44629995371.0,5593607357.0,43533037,264784157.0,308317194,308317194,,,,,17546163637,
SOSS.JK,2024-03-31,1,47694349451.0,545969333150,239808733237.0,246042805400,266720635015,299926527750,55820020852.0,,,70682180457.0,471992852215.0,37940348315.0,8552893567,-2874827590.0,5678065977,5678065977,-2058605762.0,6494287805.0,,322257357.5,-2409618089,-1341222412.0
CRAB.JK,2024-06-30,1,60129245687.0,321712605192,105741143876.0,120170489176,201542116016,201542116016,23803073781.0,,,55769588126.0,281908851645.0,33339238783.0,10043791164,-2213825240.0,7829965924,7829965924,-4067668873.0,5976122291.0,,1957491481.0,44224829034,46527134079.0
PEVE.JK,2024-03-31,1,29346884224.0,1012842610646,727006761393.0,770260957756,242581498804,242581652890,4094962498.0,,,88739354990.0,714492921204.0,85889892483.0,13634096897,-2999501317.0,10634595580,10634595580,-1492141739.0,12141955158.0,,1772537161.1666667,-14276860475,-12183237751.0
PEVE.JK,2024-06-30,1,32892532562.0,1051272112446,756609862296.0,800857602956,250413844173,250414509490,4229163640.0,,,94186434811.0,1425257031260.0,170003273022.0,23676209450,-5208757270.0,18467452180,18467452180,-3073689673.0,20602519777.0,,1846756833.6,-18861825787,-15857529343.0
HAIS.JK,2024-03-31,1,625406025739.0,950775913743,135812258527.0,254932390935,693624902715,695843522808,154263796376.0,,,144029786597.0,243376310539.0,57409333078.0,33142986027,-3438969803.0,29704016224,29704016224,-2214074738.0,30928911289.0,,2689542220.0,39380430185,64191757124.0
