symbol,date,industry_code,cash_only,total_assets,total_liabilities,stockholders_equity,total_equity,cash_and_short_term_investments,total_cash_and_due_from_banks,total_debt,pretax_income,income_taxes,operating_income,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,free_cash_flow,total_non_current_assets,total_current_liabilities,total_revenue,gross_income
ASBI.JK,2024-06-30,6,,957876223000,543152526000,406095003000,406304957000,,,,3806889000,-30477000.0,3776412000,3776412000,,,,,11453797000,,,,,
CCSI.JK,2024-03-31,1,,735229279000,333400245000,401828408000,401829034000,20541753000.0,,188660364000.0,-10731079000,2476435000.0,-8254644000,-8254644000,-2960495000.0,-13691574000.0,,1375770333.3333333,17212784000,23539473000.0,349671371000.0,256401776000.0,56018210000.0,5049036000.0
RUNS.JK,2024-06-30,1,,87659424191,25413871907,58645052681,62245552284,7729274002.0,,17486985206.0,-3520661605,0.0,-3520661605,-3520661605,-551412953.0,-4072074558.0,,987640470.5,5100405070,7729284444.0,58485318110.0,8113821079.0,8042599559.0,6773482103.0
COCO.JK,2024-03-31,1,,458577211461,316720443499,141854514032,141856767962,25758700266.0,,284497204807.0,-8742026154,0.0,-8742026154,-8746298958,-7617905602.0,-16359931756.0,,971336239.3333334,-29730114174,-29696657643.0,209764337884.0,91993375372.0,41485761358.0,5746436448.0
COCO.JK,2024-06-30,1,,447577940466,329918687577,117652330719,117659252889,11205542396.0,,284856101462.0,-32943814031,,-32943814031,-32943814031,-17935723034.0,-50879537065.0,,890384039.6486486,-39489848595,-34304071961.0,212826111656.0,105883214161.0,80342322513.0,785538054.0
HBAT.JK,2024-06-30,2,,75974139620,1899360526,74074779094,74074779094,,,,4691473347,-445657773.0,4245815574,4245815574,,,,,-1393466267,,18764511644.0,1284396116.0,17821310986.0,8859376170.0
GLOB.JK,2024-06-30,1,,8533448542,1011328202996,-1002792251131,-1002794754454,1062870457.0,,475282211452.0,2418488616,,2418488616,2418488616,2143351.0,2420631967.0,,1209244308.0,4395461750,,888726513.0,968630279835.0,87801459715.0,6026580630.0
PANR.JK,2024-03-31,1,,1830192544000,991045321000,596607567000,839147223000,255055642000.0,,511566176000.0,19835913000,-1769004000.0,18066909000,18066909000,-11505418000.0,8330495000.0,,140328511.1111111,23194890000,48480723000.0,1044476427000.0,549470906000.0,646214539000.0,65902120000.0
PANR.JK,2024-06-30,1,,1737487003000,925287109000,591721247000,812199894000,209062861000.0,,533665352000.0,61222845000,-9999249000.0,51223596000,51223596000,-20903582000.0,40319263000.0,,1445059450.0,22662922000,56005804000.0,1044921493000.0,487294626000.0,1510395493000.0,151366085000.0
BBSS.JK,2024-03-31,2,,251308424531,4084768975,247223655556,247223655556,,,,-319820851,-11333333.0,-331154184,-331154184,,,,,-370402145,,166386436568.0,1628783325.0,145833332.0,122500008.0
BBSS.JK,2024-06-30,2,,251017065016,3994732624,247022332392,247022332392,,,,-512421794,-20055554.0,-532477348,-532477348,,,,,-713233914,,164311374182.0,1575135862.0,265555553.0,233888899.0
NELY.JK,2024-03-31,1,,865379017837,83800318348,780869805063,781578699489,90394860382.0,,41003411493.0,51753306372,-364340311.0,51388966061,51388966061,-567890758.0,51185415614.0,,2446480360.0,46758664971,53979196215.0,667265020474.0,48381672515.0,105399560021.0,61670769358.0
REAL.JK,2024-03-31,2,,364386091197,12673276674,351712814523,351712814523,,,,61663670,-35641892.0,26021778,26021778,,,,,202433637,,309963005208.0,12456577240.0,1425675676.0,570270271.0
REAL.JK,2024-06-30,2,,367017801550,15099724874,351918076676,351918076676,,,,328277174,-96993243.0,231283931,231283931,,,,,-115648163,,313591795850.0,14883025440.0,3879729729.0,1551891893.0
WICO.JK,2024-03-31,1,,377720745637,391078798616,-13380188592,-13358052979,12053379979.0,,163442974102.0,-18321145221,-738491876.0,-19059637097,-19059637097,-2590524357.0,-20911669578.0,,2722805299.571429,-29676356494,-30328663996.0,81532173794.0,384070844982.0,366062103780.0,42880798526.0
WICO.JK,2024-06-30,1,,352410107188,399460799203,-47072827628,-47050692015,9619864381.0,,179145917770.0,-53027581513,275305380.0,-52752276133,-52752276133,-6178467693.0,-59206049206.0,,2397830733.318182,-27257928523,-12390676958.0,96954277559.0,392138680933.0,686136032360.0,72752250394.0
PTDU.JK,2024-03-31,2,,197470805109,177111670882,16498005617,20359134227,,,,-15056013061,,-15056013061,-15056013061,,,,,412083154,,97591188826.0,105416910062.0,11823906055.0,953357626.0
PTDU.JK,2024-06-30,2,,191866725492,181061954835,6943642047,10804770657,,,,-24610376631,,-24610376631,-24610376631,,,,,1069642807,,97436034319.0,69673419326.0,12314252993.0,-19630117953.0
NZIA.JK,2024-03-31,2,,591771416232,92380650642,479993321011,499390765590,,,,-4387560499,-197502160.0,-4585062659,-4585062659,,,,,6822065613,,379662658912.0,19944308972.0,13551080000.0,2492732547.0
CAKK.JK,2024-03-31,1,,478973113808,260449038524,218528052901,218524075284,3772835770.0,,197670591400.0,17849120692,,17849120692,17849120692,-2637878893.0,15211241799.0,,1275091720.2857144,-5781808979,4790227682.0,332794282578.0,189945592927.0,49210206166.0,-581921364.0
CAKK.JK,2024-06-30,1,,475461304077,273497356158,201968917861,201963947919,2177532858.0,,215734778504.0,1288993327,,1288993327,1288993327,-5642575819.0,-4353582492.0,,1292149044.0,-19683361528,-4175381228.0,329232200792.0,201328109008.0,103760288322.0,-6718343211.0
AKSI.JK,2024-06-30,1,,323123989602,145120912194,177505732531,178003077408,91113375644.0,,57821303695.0,-9457264139,-1115027488.0,-10572291627,-10572291627,-2851497400.0,-12308761539.0,,750810059.3571428,18223635348,20145736973.0,182836038639.0,69294086084.0,222235231471.0,22921881398.0
UANG.JK,2024-03-31,2,,1458293858762,1096787498694,361502637471,361506360068,,,,119764044889,,119764044889,119764044889,,,,,-4637665443,,735399600839.0,700010677189.0,213878669739.0,140878314348.0
UANG.JK,2024-06-30,2,,1678085312693,1349238378206,323919346700,328846934487,,,,92204619308,,92204619308,92204619308,,,,,-134327174270,,847330039431.0,936464572653.0,229540996143.0,149061633794.0
LFLO.JK,2024-06-30,1,,144300535666,82533636474,61188926616,61766899192,14511485382.0,,919614945.0,7614249036,,7614249036,7614249036,1169890707.0,8784139743.0,,1522847376.8,-1142616246,-865430678.0,10085225087.0,81719833543.0,45049629292.0,22846262308.0
UVCR.JK,2024-03-31,1,,138734191590,39049249893,99684941697,99684941697,2723612492.0,,10874431704.0,5458860698,-1089797250.0,4369063448,4369063448,93489844.0,5552350542.0,,2184531724.0,-12266211545,-12188151576.0,40497098325.0,34182810825.0,182673895693.0,11689380869.0
UVCR.JK,2024-06-30,1,,176050303154,75503736734,100546566420,100546566420,14478219500.0,,47065538315.0,7522136940,-1597416260.0,5924720680,5924720680,-404993680.0,7117143260.0,,2962360340.0,-36129592712,-35478414305.0,40663848291.0,70937297666.0,361290883834.0,21638937210.0
VAST.JK,2024-03-31,2,,514171507829,147558700457,366612807372,366612807372,,,,1872813167,-4496619.0,1868316548,1868316548,,,,,-3898907942,,491580056331.0,67954603879.0,8978406114.0,6787837857.0
VAST.JK,2024-06-30,2,,510499397773,140265110723,370234287050,370234287050,,,,5499347186,-9872060.0,5489475126,5489475126,,,,,-7080056339,,491598113236.0,68165121798.0,18222666729.0,14345181480.0
VOKS.JK,2024-03-31,1,,2576990380847,1857402159059,719588221788,719588221788,589711454906.0,,1050046616902.0,61404776949,-16142751096.0,45262025853,45262025853,-28553463021.0,32851313928.0,,4526202585.3,204656789327,204657889327.0,548818023381.0,1470263071878.0,494808338833.0,72488187933.0
VOKS.JK,2024-06-30,1,,2220709371251,1512556991382,708152379869,708152379869,262548075532.0,,953501191922.0,-6671632866,-21054395001.0,-27726027867,-27726027867,-36491502906.0,-43163135772.0,,4621004644.5,-22457099900,-19941640596.0,519003675778.0,1125356594007.0,987769810153.0,168499688399.0
