symbol,date,close,volume
JKSW.JK,2024-09-03,60.0,0.0
BIPI.JK,2024-09-03,62.0,0.0
ETWA.JK,2024-09-03,70.0,0.0
GAMA.JK,2024-09-03,18.0,0.0
KRAH.JK,2024-09-03,436.0,0.0
DUCK.JK,2024-09-03,176.0,0.0
FORZ.JK,2024-09-03,50.0,0.0
JSKY.JK,2024-09-03,52.0,0.0
MAGP.JK,2024-09-03,50.0,0.0
COWL.JK,2024-09-03,50.0,0.0
SKYB.JK,2024-09-03,51.0,0.0
POOL.JK,2024-09-03,50.0,0.0
TIFA.JK,2024-09-03,580.0,0.0
SWAT.JK,2024-09-03,12.0,0.0
MASA.JK,2024-09-03,6200.0,0.0
BBSI.JK,2024-09-03,4260.0,0.0
MASB.JK,2024-09-03,3300.0,0.0
POSA.JK,2024-09-03,50.0,0.0
OCAP.JK,2024-09-03,159.0,0.0
NIPS.JK,2024-09-03,282.0,0.0
CNTX.JK,2024-09-03,142.0,0.0
CLAY.JK,2024-09-03,184.0,0.0
YPAS.JK,2024-09-03,274.0,0.0
BTEL.JK,2024-09-03,50.0,0.0
CBMF.JK,2024-09-03,50.0,0.0
SBAT.JK,2024-09-03,1.0,0.0
SUGI.JK,2024-09-03,50.0,0.0
ARTI.JK,2024-09-03,2.0,0.0
LMAS.JK,2024-09-03,50.0,0.0
PLAS.JK,2024-09-03,50.0,0.0
MABA.JK,2024-09-03,50.0,0.0
UNIT.JK,2024-09-03,316.0,0.0
MTRA.JK,2024-09-03,244.0,0.0
BOGA.JK,2024-09-03,845.0,0.0
KAYU.JK,2024-09-03,18.0,0.0
CSMI.JK,2024-09-03,2850.0,0.0
EURO.JK,2024-09-03,242.0,0.0
PRAS.JK,2024-09-03,97.0,0.0
KDSI.JK,2024-09-03,1500.0,0.0
VIVA.JK,2024-09-03,6.0,0.0
DEAL.JK,2024-09-03,6.0,0.0
SINI.JK,2024-09-03,2490.0,0.0
DEFI.JK,2024-09-03,1455.0,0.0
RELI.JK,2024-09-03,450.0,0.0
TOPS.JK,2024-09-03,1.0,0.0
HOME.JK,2024-09-03,50.0,0.0
IIKP.JK,2024-09-03,50.0,0.0
TRIO.JK,2024-09-03,426.0,0.0
PURE.JK,2024-09-03,51.0,0.0
JMAS.JK,2024-09-03,155.0,0.0
SCPI.JK,2024-09-03,29000.0,0.0
BLTZ.JK,2024-09-03,1850.0,0.0
MAMI.JK,2024-09-03,50.0,0.0
CPRI.JK,2024-09-03,50.0,0.0
KPAS.JK,2024-09-03,62.0,0.0
GOLL.JK,2024-09-03,50.0,0.0
MKNT.JK,2024-09-03,1.0,0.0
INAF.JK,2024-09-03,126.0,0.0
POLI.JK,2024-09-03,760.0,0.0
TMPO.JK,2024-09-03,250.0,0.0
TNCA.JK,2024-09-03,420.0,0.0
TRAM.JK,2024-09-03,50.0,0.0
HKMU.JK,2024-09-03,50.0,0.0
WMPP.JK,2024-09-03,12.0,0.0
MFMI.JK,2024-09-03,860.0,0.0
ASBI.JK,2024-09-03,900.0,0.0
BIKA.JK,2024-09-03,55.0,0.0
KBRI.JK,2024-09-03,50.0,0.0
MDIA.JK,2024-09-03,10.0,0.0
BSWD.JK,2024-09-03,3000.0,0.0
ABDA.JK,2024-09-03,4500.0,0.0
KPAL.JK,2024-09-03,50.0,0.0
GLOB.JK,2024-09-03,74.0,0.0
OMRE.JK,2024-09-03,420.0,0.0
META.JK,2024-09-03,238.0,0.0
TDPM.JK,2024-09-03,119.0,0.0
ENVY.JK,2024-09-03,50.0,0.0
SIMA.JK,2024-09-03,50.0,0.0
RIMO.JK,2024-09-03,50.0,0.0
BOSS.JK,2024-09-03,50.0,0.0
TECH.JK,2024-09-03,50.0,0.0
WICO.JK,2024-09-03,123.0,0.0
NUSA.JK,2024-09-03,50.0,0.0
SMRU.JK,2024-09-03,50.0,0.0
MYRX.JK,2024-09-03,50.0,0.0
TFCO.JK,2024-09-03,635.0,0.0
WSKT.JK,2024-09-03,202.0,0.0
GEMA.JK,2024-09-03,274.0,0.0
SUPR.JK,2024-09-03,43875.0,0.0
IBST.JK,2024-09-03,5100.0,0.0
SRIL.JK,2024-09-03,146.0,0.0
HDTX.JK,2024-09-03,120.0,0.0
MYTX.JK,2024-09-03,30.0,0.0
POLL.JK,2024-09-03,112.0,0.0
HOTL.JK,2024-09-03,50.0,0.0
ARMY.JK,2024-09-03,50.0,0.0
LCGP.JK,2024-09-03,114.0,0.0
TRIL.JK,2024-09-03,50.0,0.0
TOYS.JK,2024-09-03,8.0,0.0
