,symbol
3,JKSW.JK
34,BIPI.JK
37,ETWA.JK
51,GAMA.JK
61,KRAH.JK
71,DUCK.JK
76,FORZ.JK
80,JSKY.JK
84,MAGP.JK
92,COWL.JK
97,SKYB.JK
105,POOL.JK
117,TIFA.JK
142,SWAT.JK
148,MASA.JK
156,BBSI.JK
164,MASB.JK
189,POSA.JK
191,OCAP.JK
197,NIPS.JK
201,CNTX.JK
228,CLAY.JK
230,YPAS.JK
243,BTEL.JK
247,CBMF.JK
250,SBAT.JK
254,SUGI.JK
259,ARTI.JK
270,LMAS.JK
276,PLAS.JK
283,MABA.JK
286,UNIT.JK
301,MTRA.JK
317,BOGA.JK
324,KAYU.JK
326,CSMI.JK
335,EURO.JK
354,PRAS.JK
359,KDSI.JK
372,VIVA.JK
375,DEAL.JK
381,SINI.JK
390,DEFI.JK
393,RELI.JK
396,TOPS.JK
402,HOME.JK
408,IIKP.JK
410,TRIO.JK
420,PURE.JK
425,JMAS.JK
440,SCPI.JK
442,BLTZ.JK
447,MAMI.JK
463,CPRI.JK
480,KPAS.JK
499,GOLL.JK
518,MKNT.JK
520,INAF.JK
524,POLI.JK
581,TMPO.JK
582,TNCA.JK
589,TRAM.JK
595,HKMU.JK
614,WMPP.JK
624,MFMI.JK
675,ASBI.JK
679,BIKA.JK
689,KBRI.JK
693,MDIA.JK
702,BSWD.JK
721,ABDA.JK
725,KPAL.JK
730,GLOB.JK
736,OMRE.JK
737,META.JK
740,TDPM.JK
753,ENVY.JK
758,SIMA.JK
767,RIMO.JK
773,BOSS.JK
784,TECH.JK
791,WICO.JK
797,NUSA.JK
801,SMRU.JK
813,MYRX.JK
821,TFCO.JK
839,WSKT.JK
843,GEMA.JK
857,SUPR.JK
864,IBST.JK
868,SRIL.JK
871,HDTX.JK
878,MYTX.JK
883,POLL.JK
898,HOTL.JK
906,ARMY.JK
914,LCGP.JK
918,TRIL.JK
921,TOYS.JK
