total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,total_liabilities,total_equity,total_debt,total_current_liabilities,stockholders_equity,cash_and_short_term_investments,cash_only,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
19450000000,,-36690000000,-759950000,-19140000000,108480000,-5360000000,5250000000,-33720000000,-36690000000,2022-12-31,MARI.JK,,,,,,,,,,,-7010000000,-18300000000
18210000000,9890000000.0,-22390000000,-726090000,-24000000000,-1240000000,-9550000000,5250000000,-18730000000,-22390000000,2023-03-31,MARI.JK,,,,,,,,,,,-25880000000,-26050000000
20960000000,10710000000.0,-26800000000,-720380000,-27050000000,-419380000,-11780000000,5250000000,-23180000000,-26800000000,2023-06-30,MARI.JK,,,,,,,,,,,-32220000000,-32290000000
22430000000,6170000000.0,-23060000000,-701460000,-23230000000,-1350000000,-9200000000,5250000000,-17640000000,-23060000000,2023-09-30,MARI.JK,,,,,,,,,,,-20690000000,-21160000000
24630000000,5939999999.0,-23310000000,-755400000,-26660000000,1140000000,-16790000000,5250000000,-16350000000,-23310000000,2023-12-31,MARI.JK,,,,,,,,,,,-17260000000,-34130000000
22390000000,8880000000.0,-17120000000,-593980000,-17230000000,-429880000,-4660000000,5250000000,-11430000000,-17120000000,2024-03-31,MARI.JK,,,,,,,,,,,-18130000000,-18780000000
22360000000,5210000000.0,-17370000000,-484020000,-17640000000,149800000,-4730000000,5250000000,-11310000000,-17370000000,2024-06-30,MARI.JK,,,,,,,,,,,-14900000000,-15230000000
,,,,,,,,,,2022-09-30,RANC.JK,,,,,,,,,,,11280000000,-1330000000
,,,,,,,,,,2022-12-31,RANC.JK,,,,,,,,,,,66700000000,58940000000
,,,,,,,,,,2023-03-31,RANC.JK,,,,,,,,,,,4370000000,-12980000000
,,,,,,,,,,2023-06-30,RANC.JK,,,,,,,,,,,17940000000,17310000000
,,,,,,,,,,2023-09-30,RANC.JK,,,,,,,,,,,57110000000,48750000000
,,,,,,,,,,2023-12-31,RANC.JK,,,,,,,,,,,56670000000,47280000000
,,,,,,,,,,2024-03-31,RANC.JK,,,,,,,,,,,52990000000,30110000000
